city_key,lag,city,city_order,panel_row,panel_col,model_available,estimate,std.error,p.value,conf.low,conf.high,pct,pct_low,pct_high,n_obs,significant_05,effect_direction
abilene,1,Abilene,1,1,1,True,-0.225721348712495,0.1490370292199586,0.1298909661746236,-0.5178285583464575,0.0663858609214673,-20.20595821853285,-40.41870827035734,6.86389836450616,21916.0,False,not_significant
abilene,2,Abilene,1,1,1,True,-0.0014487215727106,0.315233898247893,0.9963331719294836,-0.6192958088447448,0.6163983656993236,-0.1447672682190925,-46.16766132797009,85.22449051798071,21916.0,False,not_significant
abilene,3,Abilene,1,1,1,True,-0.0578353263413553,0.059310308065569,0.3294952302954055,-0.174081394061846,0.0584107413791354,-5.619464547850184,-15.977149473582053,6.015035391280965,21916.0,False,not_significant
abilene,4,Abilene,1,1,1,True,0.8475121163884249,0.0879189519620086,5.4347802368873725e-22,0.6751941369843809,1.0198300957924689,133.3833317563248,96.44143044228068,177.27236265308463,21916.0,True,significant_enhancement
abilene,5,Abilene,1,1,1,True,0.2955301382691331,0.2381305350125256,0.2145900122354302,-0.1711971339746712,0.7622574105129376,34.383859014319285,-15.734455891938993,114.31086400417465,21916.0,False,not_significant
abilene,6,Abilene,1,1,1,True,0.378615077670131,0.0443942413356463,1.482924143273725e-17,0.2916039635312848,0.4656261918089771,46.02608405446716,33.857278901080925,59.301140732438085,21916.0,True,significant_enhancement
abilene,7,Abilene,1,1,1,True,-0.0124534774791537,0.0432726277534486,0.7735066444823104,-0.0972662693923215,0.0723593144340139,-1.2376253828561778,-9.26856160832502,7.5041552621525565,21916.0,False,not_significant
abilene,8,Abilene,1,1,1,True,-0.221203378851238,0.4875280352310335,0.650027182643047,-1.1767407693576382,0.734334011655162,-19.844635534769814,-69.17181352965909,108.40935481998316,21916.0,False,not_significant
abilene,9,Abilene,1,1,1,True,0.1465214011451705,0.2659399736477945,0.5816633810575451,-0.3747113692540376,0.6677541715443787,15.779970879296323,-31.251231976079676,94.98533635026874,21916.0,False,not_significant
abilene,10,Abilene,1,1,1,True,-0.115842862432593,0.3338212781421473,0.7285758378039078,-0.7701205448643297,0.5384348199991437,-10.93848385976235,-53.70427421723731,71.3323103393515,21916.0,False,not_significant
abilene,11,Abilene,1,1,1,True,0.4147853876268179,0.2151685591785279,0.053889585512176,-0.006937238968472,0.836508014222108,51.40457728658164,-0.691323187261772,130.82923626657478,21916.0,False,not_significant
abilene,12,Abilene,1,1,1,True,0.4411721428856723,0.2461254262804504,0.0730579056266118,-0.0412248283035786,0.9235691140749231,55.45282802948539,-4.038664255042135,151.82623350086598,21916.0,False,not_significant
amarillo,1,Amarillo,2,1,2,True,0.6329667877185694,0.0992959534109391,1.8350374248985487e-10,0.4383502952225616,0.8275832802145772,88.31893226529172,55.01478217000238,128.77831232021913,27395.0,True,significant_enhancement
amarillo,2,Amarillo,2,1,2,True,0.316797454517235,0.1602811617544691,0.0480969486360862,0.0026521500782368,0.6309427589562333,37.27245046182799,0.2655670139477983,87.93815481214698,27395.0,True,significant_enhancement
amarillo,3,Amarillo,2,1,2,True,0.1934113850272035,0.32193230589433,0.5479846763404894,-0.4375643399856149,0.824387110040022,21.33818579869125,-35.439301325266506,128.04826520069406,27395.0,False,not_significant
amarillo,4,Amarillo,2,1,2,True,0.5287535024777948,0.2197179746339835,0.0161057632137034,0.098114185439102,0.9593928195164876,69.68159130204282,10.308873458910009,161.0111183622815,27395.0,True,significant_enhancement
amarillo,5,Amarillo,2,1,2,True,0.3395487443241745,0.1724433763927669,0.0489479396132742,0.0015659372218667,0.6775315514264822,40.431374301352285,0.1567163941796678,96.90113252667034,27395.0,True,significant_enhancement
amarillo,6,Amarillo,2,1,2,True,0.2582954557559765,0.0477900002073912,6.48802720988319e-08,0.164628776528328,0.3519621349836249,29.4721294978022,17.89553815575764,42.18546841483675,27395.0,True,significant_enhancement
amarillo,7,Amarillo,2,1,2,True,0.3636559714138734,0.0602487261326089,1.5806799266606399e-09,0.2455706380795428,0.481741304748204,43.85792166423481,27.835058063152964,61.889093172933386,27395.0,True,significant_enhancement
amarillo,8,Amarillo,2,1,2,True,0.8942842224763594,0.1172452506102518,2.3941197421528436e-14,0.664487753921893,1.124080691030826,144.55846682927637,94.3494718763116,207.738647913332,27395.0,True,significant_enhancement
amarillo,9,Amarillo,2,1,2,True,0.8022447681371406,0.0727457287912504,2.798146810085641e-28,0.6596657596771712,0.94482377659711,123.05423632872046,93.41457568497388,157.2360028606362,27395.0,True,significant_enhancement
amarillo,10,Amarillo,2,1,2,True,0.4593000170100136,0.1822687447340905,0.0117386335992805,0.1020598418238716,0.8165401921961555,58.296554813883695,10.744974155744092,126.26579180654574,27395.0,True,significant_enhancement
amarillo,11,Amarillo,2,1,2,True,0.5874673658154088,0.2502094331963879,0.0188794601313032,0.097065888158308,1.0778688434725097,79.94253533908726,10.1932975563519,193.8410660385235,27395.0,True,significant_enhancement
amarillo,12,Amarillo,2,1,2,True,0.546645371295056,0.1765211305050207,0.001956414928665,0.2006703129949207,0.8926204295951912,72.74483392550688,22.222175476236327,144.15191049968587,27395.0,True,significant_enhancement
arlington,1,Arlington,3,1,3,True,0.4360181826966202,0.042149333414832,4.427407228572167e-25,0.3534070072311787,0.5186293581620618,54.653691470526034,42.39105674082164,67.97237714862577,21916.0,True,significant_enhancement
