boundary_index,boundary_value
0,-10.0
1,-2.3034278205672742
2,-2.266414358775755
3,-2.2384963567362552
4,-2.182833093346266
5,-2.1470379424867905
6,-2.110940676758938
7,-2.093747082004075
8,-2.0584370720804057
9,-2.0246101367852862
10,-2.0034614519146072
11,-1.9809874252107413
12,-1.9421529686686179
13,-1.9154273361444942
14,-1.873919143499981
15,-1.850392769242298
16,-1.8220406646479026
17,-1.7736641613713926
18,-1.746645487214256
19,-1.7186933741555448
20,-1.6979605531068773
21,-1.6554234194785264
22,-1.6279935054610841
23,-1.6060097768889285
24,-1.571535005244998
25,-1.5529316195616842
26,-1.5375744123702386
27,-1.516739885621705
28,-1.5011148281639697
29,-1.4762559883877149
30,-1.457411675480407
31,-1.436965792505952
32,-1.4210306549049618
33,-1.3932162175135052
34,-1.3708976980863876
35,-1.3512099769458668
36,-1.3303178203821324
37,-1.3100101344922883
38,-1.2847434857911442
39,-1.2616894523480546
40,-1.2373540219988481
41,-1.204199224255106
42,-1.185255317478474
43,-1.1632649173644984
44,-1.1388195753049013
45,-1.108896441669356
46,-1.0869470465595577
47,-1.0556145354253987
48,-1.0279495923283823
49,-1.0055747399493602
50,-0.9791623125266484
51,-0.9641316795340331
52,-0.9377397914214448
53,-0.9203099089105361
54,-0.8932969627617476
55,-0.8756725582412878
56,-0.855017326342653
57,-0.8324886719838599
58,-0.816811870449896
59,-0.7863210689208557
60,-0.7628710876042842
61,-0.742578172256287
62,-0.7252153485145526
63,-0.7052199621229847
64,-0.6858705242939266
65,-0.6618228197878544
66,-0.6386728140084439
67,-0.6097845512802629
68,-0.5850811947309522
69,-0.5640942361804532
70,-0.5477236987522645
71,-0.5263337817045456
72,-0.5056776882357452
73,-0.4765175798464913
74,-0.45109168032063185
75,-0.4186678829249752
76,-0.39825098676316867
77,-0.37441279279467016
78,-0.34646039248580507
79,-0.31749946636788867
80,-0.29888433968166755
81,-0.2697758869973783
82,-0.2405620706779185
83,-0.20653186121187705
84,-0.17070616238156192
85,-0.14650501478108377
86,-0.12442481434021273
87,-0.10056645839539362
88,-0.06034317916097229
89,-0.0439154822672947
90,0.0
91,9.522380489286001e-06
92,0.0056980369598437575
93,0.011464992161709708
94,0.01315652585272518
95,0.016457193956531193
96,0.018316671115784052
97,0.02873331823571197
98,0.03562880431381321
99,0.03821026102915402
100,0.0397746008751769
101,0.04219248824272457
102,0.044840887601786214
103,0.0497091257124103
104,0.052428550294541854
105,0.060347670523671196
106,0.07151939785153755
107,0.07862425826210108
108,0.0823445584096326
109,0.09209758761814558
110,0.09889131889910234
111,0.10941998571226713
112,0.11410198344347539
113,0.1164488721091323
114,0.11966319179162
115,0.13099835194856374
116,0.136603344342439
117,0.13792071365175174
118,0.15522597560235996
119,0.1567781156858398
120,0.16186865949550536
121,0.1634035540883268
122,0.17505669246959735
123,0.17826689498886894
124,0.1804135084260059
125,0.18398131575371618
126,0.18812998710585227
127,0.19335196830539503
128,0.19704459512764805
129,0.20317737382824794
130,0.2053848030016404
131,0.20704728907477749
132,0.20997495674535926
133,0.2143395011629789
134,0.2184356275024253
135,0.22013825156323166
136,0.23521919499576904
137,0.24021314568417804
138,0.24407027184244526
139,0.24626906950862015
140,0.25253719981564215
141,0.2625154491890376
142,0.2711427445038557
143,0.27485816661233387
144,0.2831381649789165
145,0.29578626860624874
146,0.29776515906830026
147,0.3156827306347173
148,0.32278536184490614
149,0.3290393075306694
150,0.34190964956069486
151,0.3560272186733839
152,0.35684255415091504
153,0.35942092706563494
154,0.3626938068894655
155,0.364490035205163
156,0.36758283308414363
157,0.3746538086955694
158,0.38188796033976546
159,0.3836595185613336
160,0.38634882686212163
161,0.3881829019865155
162,0.3898993984869128
163,0.3917941644725019
164,0.4045308013543293
165,0.40662019198206223
166,0.41094702059947785
167,0.412657948604001
168,0.41452234259649506
169,0.41722657591566314
170,0.42825478564518343
171,0.4395354138786489
172,0.4545181607430469
173,0.46216446501915165
174,0.46486952090426004
175,0.46723688981680467
176,0.48698748556037763
177,0.5081636908882716
178,0.543191294575136
179,0.5661944930756656
180,10.0
