group_label,indicator,model_type,lag,rr,rr_low,rr_high,log_rr,log_rr_se,n_cities,lag_profile_percentile,lag_profile_value_target,lag_profile_value_mean,lag_profile_value_median,lag_profile_source,meta_method,reliability,profile_warning,percentile,source_file,ci_source,log_rr_low_for_dots,log_rr_high_for_dots,rr_low_for_dots,rr_high_for_dots,pa_change_pct,ci_excludes_null
National,cehwi,composite_all,0,0.9917457227662309,0.9820081371050732,1.001579866257131,-0.0082885324114865,0.0050342612208181,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.016569155239570296,-7.90958340270674e-06,0.9835673582023987,0.999992090447878,-0.8254277233769147,True
National,cehwi,composite_all,1,0.992086107886046,0.9853854687517688,0.9988323114884748,-0.0079453731598842,0.0034576542698728,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.013632708326428718,-0.002258037993339683,0.9864597962021868,0.9977445094566763,-0.7913892113953991,True
National,cehwi,composite_all,2,0.9924658143536806,0.987198377044534,0.9977613573571344,-0.0075627109901393,0.0027150810412623,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.012028621888326771,-0.0030968000919518283,0.9880434327884227,0.9969079900474758,-0.7534185646319358,True
National,cehwi,composite_all,3,0.9929241098492902,0.9868936637458586,0.9989914051914416,-0.0071010429841091,0.0031081322456865,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.01221346558147136,-0.0019886203867468385,0.9878608160696131,0.9980133556087225,-0.7075890150709752,True
National,cehwi,composite_all,4,0.9935003484866924,0.9858614863530096,1.001198399680406,-0.0065208662236511,0.0039380348960935,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.012998357205551956,-4.33752417502457e-05,0.9870857565979563,0.999956625698942,-0.6499651513307558,True
National,cehwi,composite_all,5,0.9942340097089536,0.9853283024968392,1.0032202095048566,-0.0057826777906224,0.0045906701657956,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.013333658262969207,0.0017683026817244063,0.9867548411812523,1.0017698670508683,-0.5765990291046408,False
National,cehwi,composite_all,6,0.9951631148648512,0.9858065936323276,1.0046084410314666,-0.0048486207218031,0.0048196303065443,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.012776207112087724,0.003078965668481525,0.9873050621495142,1.0030837105518033,-0.4836885135148794,False
National,cehwi,composite_all,7,0.9962882107663024,0.987218068602731,1.005441685560712,-0.0037186950171933,0.004666136786595,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.011393807034475768,0.003956417000089169,0.9886708565637023,1.0039642539498337,-0.37117892336976377,False
National,cehwi,composite_all,8,0.9975721942590712,0.988974826662022,1.006244300593251,-0.0024307576400128,0.0044161445754599,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.009694669062100082,0.004833153782074482,0.9903521727478505,1.0048448523091487,-0.24278057409288234,False
National,cehwi,composite_all,9,0.998976212919554,0.9902515192263832,1.0077777762549944,-0.0010243115084045,0.0044755085654079,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.00838586800466806,0.006337244987859061,0.991649195305875,1.0063573678101707,-0.1023787080446037,False
National,cehwi,composite_all,10,1.0004612468010965,0.9904082712057708,1.0106162634649976,0.0004611404594891,0.0051526357995702,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.,25,pooled_lag_response_p25.csv,provided_log_rr_se,-0.008014191223793939,0.008936472142772139,0.9920178367900391,1.0089765216214048,0.04612468010964932,False
