lag,percentile,log_rr_low_interp,log_rr_high_interp,rr_low_interp,rr_high_interp,ci_level,ci_excludes_null_interp
0.0,25.0,-0.01712830756670983,0.0002766328839368041,0.9830175479533264,1.0002766711503415,0.9,False
1.0,25.0,-0.014828979885428336,-0.0017984083851438036,0.9852804279668784,0.9982032077822279,0.9,True
2.0,25.0,-0.013399893693006723,-0.0025626546658574965,0.9866894852144693,0.9974406261304963,0.9,True
3.0,25.0,-0.013194007577518138,-0.0016466381412643747,0.9868926517936448,0.9983547168235055,0.9,True
4.0,25.0,-0.013619855379759424,0.00013155185763409987,0.9864724751988199,1.000131560510959,0.9,False
5.0,25.0,-0.013967786031352809,0.001884276898978945,0.9861293108898976,1.001886053264241,0.9,False
6.0,25.0,-0.01353460636029507,0.0031527050331320926,0.9865565745947038,1.0031576800345086,0.9,False
7.0,25.0,-0.012257413689807171,0.004014004607870085,0.9878174024094288,1.0040220715142878,0.9,False
8.0,25.0,-0.01072048702803549,0.005023242558249348,0.9893367725933455,1.0050358801929227,0.9,False
9.0,25.0,-0.00960823535991176,0.006642723559130691,0.990437776252072,1.0066648353810643,0.9,False
10.0,25.0,-0.0095463911610319,0.00910961697425467,0.9904990309769898,1.0091512358162043,0.9,False
11.0,25.0,-0.010940011922769556,0.011675710704727532,0.989119612379394,1.0117441378675605,0.9,False
0.0,30.0,-0.018363204709224774,-4.230073993446794e-05,0.9818043716204817,0.9999577001547292,0.9,True
1.0,30.0,-0.016303080269328488,-0.002127254744900938,0.9838290956773145,0.9978750062579468,0.9,True
2.0,30.0,-0.014906689896053852,-0.0028712236971111943,0.9852038647892533,0.9971328943234526,0.9,True
3.0,30.0,-0.014490353983448185,-0.0020225305305924517,0.9856141259367015,0.9979795134060742,0.9,True
4.0,30.0,-0.014702754535012895,-0.0001900980258508471,0.9854048031836435,0.9998099200416339,0.9,True
5.0,30.0,-0.014955844577449763,0.0016915539127907097,0.9851554385973663,1.0016929853971412,0.9,False
6.0,30.0,-0.014550894391780918,0.0030775400638007938,0.9855544582612297,1.0030822805519897,0.9,False
7.0,30.0,-0.013181883755045715,0.004311399415277799,0.986904616777485,1.00432070686898,0.9,False
8.0,30.0,-0.011476031913336453,0.005772242728879197,0.9885895665643643,1.0057889342222692,0.9,False
9.0,30.0,-0.01027327034341665,0.007771618497620293,0.9897793194545503,1.0078018959086623,0.9,False
10.0,30.0,-0.010240787020475709,0.010272432958931502,0.9898114712980209,1.010325375526079,0.9,False
11.0,30.0,-0.011782821090031993,0.012282934190639267,0.9882863245032177,1.0123586792328993,0.9,False
0.0,35.0,-0.02025233716741636,-8.788396255013758e-05,0.9799513639540108,0.9999121198991322,0.9,True
1.0,35.0,-0.01845713519573041,-0.0021756587613669734,0.9817121545892652,0.997826706268679,0.9,True
2.0,35.0,-0.01709610808399314,-0.0029270744902370424,0.9830492011194769,0.9970772052156077,0.9,True
3.0,35.0,-0.01657442034706305,-0.0020689729504026035,0.9835621796281643,0.9979331658988041,0.9,True
4.0,35.0,-0.01665464345731459,-0.0001710912601266861,0.983483278375883,0.9998289233751483,0.9,True
5.0,35.0,-0.016767255961328626,0.0017987639218641992,0.9833725320970741,1.0018003826681228,0.9,False
6.0,35.0,-0.01634647998692425,0.003331800245242677,0.9837863986989247,1.0033373568611441,0.9,False
7.0,35.0,-0.014912923694230681,0.004924608206245212,0.9851977232463397,1.0049367540188423,0.9,False
8.0,35.0,-0.013075575006820182,0.006706539443076061,0.9870095389488861,1.0067290786372192,0.9,False
9.0,35.0,-0.011764331417485483,0.008966977227294103,0.9883045977626728,1.0090073010049392,0.9,False
10.0,35.0,-0.011683967060093916,0.01152771085720898,0.9883840254181125,1.0115944109694806,0.9,False
11.0,35.0,-0.013066421395846285,0.013385557823462077,0.9870185736915834,1.0134755454659112,0.9,False
0.0,40.0,-0.02258232024628649,-2.086645489628138e-05,0.9776707517835185,0.9999791337628067,0.9,True
1.0,40.0,-0.02086917686804362,-0.002311991863271727,0.9793470774411565,0.9976906787313887,0.9,True
2.0,40.0,-0.019370042894925586,-0.0031728130495341975,0.9808163509601757,0.9968322150026938,0.9,True
3.0,40.0,-0.018840660006917836,-0.002176505805922576,0.9813357158119557,0.997825861065358,0.9,True
4.0,40.0,-0.01897606594125316,-2.6207278340190755e-05,0.9812028461283343,0.9999737930650675,0.9,True
5.0,40.0,-0.01904912931380241,0.0021509873399564354,0.9811311587581337,1.002153302372796,0.9,False
6.0,40.0,-0.01853088452743194,0.0038940825471719225,0.9816397566436238,1.0039016743377684,0.9,False
7.0,40.0,-0.016974967295079153,0.005655994257821797,0.9831682956887012,1.0056720195921647,0.9,False
8.0,40.0,-0.01494855607593182,0.007539102263719309,0.9851626189304428,1.0075675928479957,0.9,False
9.0,40.0,-0.013461783441813629,0.010010398182349787,0.9866284211397186,1.0100606698245924,0.9,False
10.0,40.0,-0.013256206497868035,0.013029564173370797,0.986831270045161,1.01311481881921,0.9,False
11.0,40.0,-0.014439093359945906,0.015149345522281322,0.9856646504262769,1.0152646785276762,0.9,False
0.0,45.0,-0.025904930268970235,-8.057490641928561e-05,0.9744277237869348,0.9999194283396513,0.9,True
1.0,45.0,-0.023983451485189912,-0.0029716158988565044,0.9763018659701164,0.9970327949814396,0.9,True
2.0,45.0,-0.02206589083932164,-0.004118362063031092,0.978175780104583,0.9958901067601278,0.9,True
3.0,45.0,-0.02148726017738071,-0.00281005590987473,0.9787419463885085,0.9971938886016026,0.9,True
4.0,45.0,-0.021958326048650327,1.138092595391619e-05,0.9782810030366494,1.000011380990717,0.9,False
5.0,45.0,-0.022204903028468656,0.002781362515729986,0.9780398111989066,1.0027852340930399,0.9,False
6.0,45.0,-0.02150409772143837,0.004879491015413432,0.9787254669166024,1.004891415118327,0.9,False
7.0,45.0,-0.01961335351281258,0.006593811192052293,0.9805777369576273,1.0066155982252738,0.9,False
8.0,45.0,-0.017165751863836686,0.008425809622353148,0.9829807402413037,1.0084614066639754,0.9,False
9.0,45.0,-0.015367113125757902,0.011412103104671101,0.9847503584543473,1.0114774695729447,0.9,False
10.0,45.0,-0.014956751413674894,0.015411177663684932,0.9851545452231323,1.0155305422568626,0.9,False
11.0,45.0,-0.01594802894052815,0.01835574389432392,0.9841784675238461,1.0185252460858667,0.9,False
0.0,50.0,-0.030144162970928836,-0.00016957540893585912,0.970305641321149,0.9998304389681612,0.9,True
1.0,50.0,-0.027594424455074477,-0.003915596288745616,0.9727828237286261,0.9960920596626046,0.9,True
2.0,50.0,-0.025350274319688944,-0.005389649264976282,0.974968345836836,0.9946248488363687,0.9,True
3.0,50.0,-0.024981354209980787,-0.00354183108128292,0.9753280976216978,0.9964644338038504,0.9,True
4.0,50.0,-0.02564463512485154,5.665712839246141e-06,0.9746813956050701,1.0000056657288894,0.9,False
5.0,50.0,-0.026040791425688686,0.0034690099699044245,0.9742953459019524,1.0034750339487235,0.9,False
6.0,50.0,-0.025158170066003384,0.0060322785960145306,0.9751556593945696,1.0060505094279286,0.9,False
7.0,50.0,-0.022870324899127287,0.007857498762247492,0.9773892186014377,1.0078884499187621,0.9,False
8.0,50.0,-0.019966324088364684,0.0099463048170472,0.9802316829464743,1.0099959337117035,0.9,False
9.0,50.0,-0.01769187778657462,0.013217433786023748,0.9824637046171597,1.0133051701878537,0.9,False
10.0,50.0,-0.016946276449160316,0.018103436974340602,0.9831965040234437,1.0182682975344135,0.9,False
11.0,50.0,-0.01767461494934078,0.022837383664297446,0.9824806648745713,1.0231001532210433,0.9,False
0.0,55.0,-0.032285116834557724,-0.0002919223999550649,0.9682304839102552,0.9997081202052428,0.9,True
1.0,55.0,-0.031243518715754384,-0.0034753642680132955,0.9692395163727944,0.9965306678204595,0.9,True
