City,Group,Strong days,Overall days,Duration band,Group median strong,Group mean strong,Group median overall,Group mean overall,DLNM_lag_days_main,DLNM_lag_days_strong_sensitivity,DLNM_lag_days_7d_control,Main_lag_definition,Control_lag_definition
Nashville,4,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
New York,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Newark,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Oakland,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Oklahoma City,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Orlando,3,6,8,Attenuates ~6d strong / ~8d overall,6.0,6.0,8.0,8.0,8,6,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Overland Park,3,6,8,Attenuates ~6d strong / ~8d overall,6.0,6.0,8.0,8.0,8,6,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Palm Bay,4,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Philadelphia,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Phoenix,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Pittsburgh,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Portland,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Raleigh,3,6,8,Attenuates ~6d strong / ~8d overall,6.0,6.0,8.0,8.0,8,6,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Richmond,4,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Riverside,4,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Sacramento,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Salt Lake City,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
San Antonio,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
San Bernardino,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
San Diego,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
San Francisco,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
San Jose,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Santa Ana,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Scottsdale,4,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Seattle,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
St. Louis,3,6,8,Attenuates ~6d strong / ~8d overall,6.0,6.0,8.0,8.0,8,6,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
St. Petersburg,3,6,8,Attenuates ~6d strong / ~8d overall,6.0,6.0,8.0,8.0,8,6,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Tallahassee,4,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Tampa,3,6,8,Attenuates ~6d strong / ~8d overall,6.0,6.0,8.0,8.0,8,6,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Tucson,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Virginia Beach,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Visalia,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Washington,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
