method,k,min_size,max_size,silhouette,calinski_harabasz,davies_bouldin,composite
ward,3,10,28,0.1728830572095513,8.024669698493415,2.4576606734907696,3.000000000000003
ward,4,10,20,0.1637841917441811,6.8428104812455,2.855055979384057,-2.999999999999997
