"model_id","city","activity_type","row_exposure","col_exposure","covariance"
"San_Bernardino__all","San_Bernardino","all",4,2,0.786425540428191
"San_Bernardino__all","San_Bernardino","all",6,2,0.86186812870675
"San_Bernardino__all","San_Bernardino","all",2,4,0.786425540428191
"San_Bernardino__all","San_Bernardino","all",4,4,1.35663123293843
"San_Bernardino__all","San_Bernardino","all",6,4,1.49439709092788
"San_Bernardino__all","San_Bernardino","all",2,6,0.86186812870675
"San_Bernardino__all","San_Bernardino","all",4,6,1.49439709092788
"San_Bernardino__all","San_Bernardino","all",6,6,1.66824775484896
"San_Jose__all","San_Jose","all",2,2,0.0119824247170936
"San_Jose__all","San_Jose","all",4,2,0.0231456599627111
"San_Jose__all","San_Jose","all",6,2,0.0326705235556139
"San_Jose__all","San_Jose","all",2,4,0.0231456599627111
"San_Jose__all","San_Jose","all",4,4,0.0447116077125702
"San_Jose__all","San_Jose","all",6,4,0.0631181252045354
"San_Jose__all","San_Jose","all",2,6,0.0326705235556139
"San_Jose__all","San_Jose","all",4,6,0.0631181252045354
"San_Jose__all","San_Jose","all",6,6,0.0891198844981198
"Scottsdale__all","Scottsdale","all",2,2,0.00718630637415551
"Scottsdale__all","Scottsdale","all",4,2,0.0120185563534414
"Scottsdale__all","Scottsdale","all",6,2,0.0123130079539912
"Scottsdale__all","Scottsdale","all",2,4,0.0120185563534414
"Scottsdale__all","Scottsdale","all",4,4,0.0202364629387332
"Scottsdale__all","Scottsdale","all",6,4,0.0211264779533778
"Scottsdale__all","Scottsdale","all",2,6,0.0123130079539912
"Scottsdale__all","Scottsdale","all",4,6,0.0211264779533778
"Scottsdale__all","Scottsdale","all",6,6,0.0231879463658175
"St_Louis__all","St_Louis","all",2,2,0.0087447010349781
"St_Louis__all","St_Louis","all",4,2,0.0150782558505396
"St_Louis__all","St_Louis","all",6,2,0.0166285216251086
"St_Louis__all","St_Louis","all",2,4,0.0150782558505396
"St_Louis__all","St_Louis","all",4,4,0.0261730853818305
"St_Louis__all","St_Louis","all",6,4,0.0293652313805429
"St_Louis__all","St_Louis","all",2,6,0.0166285216251086
"St_Louis__all","St_Louis","all",4,6,0.0293652313805429
"St_Louis__all","St_Louis","all",6,6,0.0343802338027914
"St_Petersburg__all","St_Petersburg","all",2,2,0.0465128394191595
"St_Petersburg__all","St_Petersburg","all",4,2,0.0280526227617218
"St_Petersburg__all","St_Petersburg","all",6,2,-0.0297157523219536
"St_Petersburg__all","St_Petersburg","all",2,4,0.0280526227617218
"St_Petersburg__all","St_Petersburg","all",4,4,0.0573196081564505
"St_Petersburg__all","St_Petersburg","all",6,4,0.0756942616143777
"St_Petersburg__all","St_Petersburg","all",2,6,-0.0297157523219536
"St_Petersburg__all","St_Petersburg","all",4,6,0.0756942616143777
"St_Petersburg__all","St_Petersburg","all",6,6,0.236370237774162
"Tallahassee__all","Tallahassee","all",2,2,0.0605356072059183
"Tallahassee__all","Tallahassee","all",4,2,0.0318656007859484
"Tallahassee__all","Tallahassee","all",6,2,-0.0545828955771906
"Tallahassee__all","Tallahassee","all",2,4,0.0318656007859484
"Tallahassee__all","Tallahassee","all",4,4,0.0392494473138463
"Tallahassee__all","Tallahassee","all",6,4,0.0158845744023566
"Tallahassee__all","Tallahassee","all",2,6,-0.0545828955771906
"Tallahassee__all","Tallahassee","all",4,6,0.0158845744023566
"Tallahassee__all","Tallahassee","all",6,6,0.144624445089337
"Tampa__all","Tampa","all",2,2,0.0409369696425576
"Tampa__all","Tampa","all",4,2,0.041159778232774
"Tampa__all","Tampa","all",6,2,-0.00949451621721553
"Tampa__all","Tampa","all",2,4,0.041159778232774
"Tampa__all","Tampa","all",4,4,0.0506620262387456
"Tampa__all","Tampa","all",6,4,0.0185265665674558
"Tampa__all","Tampa","all",2,6,-0.00949451621721553
"Tampa__all","Tampa","all",4,6,0.0185265665674558
"Tampa__all","Tampa","all",6,6,0.0872447230937633
"Tucson__all","Tucson","all",2,2,0.00153404573660222
"Tucson__all","Tucson","all",4,2,0.00272759318344584
"Tucson__all","Tucson","all",6,2,0.00327255046355338
"Tucson__all","Tucson","all",2,4,0.00272759318344584
"Tucson__all","Tucson","all",4,4,0.00485946923865356
"Tucson__all","Tucson","all",6,4,0.00585647628058359
"Tucson__all","Tucson","all",2,6,0.00327255046355338
"Tucson__all","Tucson","all",4,6,0.00585647628058359
"Tucson__all","Tucson","all",6,6,0.00712818619330047
"Virginia_Beach__all","Virginia_Beach","all",2,2,0.0132641928157438
"Virginia_Beach__all","Virginia_Beach","all",4,2,0.0180713316942054
"Virginia_Beach__all","Virginia_Beach","all",6,2,0.00948613124190004
"Virginia_Beach__all","Virginia_Beach","all",2,4,0.0180713316942054
"Virginia_Beach__all","Virginia_Beach","all",4,4,0.0257645765796838
"Virginia_Beach__all","Virginia_Beach","all",6,4,0.0168876553716416
"Virginia_Beach__all","Virginia_Beach","all",2,6,0.00948613124190004
"Virginia_Beach__all","Virginia_Beach","all",4,6,0.0168876553716416
"Virginia_Beach__all","Virginia_Beach","all",6,6,0.0205348284519856
"Visalia__all","Visalia","all",2,2,0.00336774537502027
"Visalia__all","Visalia","all",4,2,0.00648838311547708
"Visalia__all","Visalia","all",6,2,0.0091148076161033
"Visalia__all","Visalia","all",2,4,0.00648838311547708
"Visalia__all","Visalia","all",4,4,0.0125042548058634
"Visalia__all","Visalia","all",6,4,0.0175751020226312
"Visalia__all","Visalia","all",2,6,0.0091148076161033
"Visalia__all","Visalia","all",4,6,0.0175751020226312
"Visalia__all","Visalia","all",6,6,0.0247263704158677
"Washington__all","Washington","all",2,2,0.0113315949990031
"Washington__all","Washington","all",4,2,0.0180890923721687
"Washington__all","Washington","all",6,2,0.0156983976426384
"Washington__all","Washington","all",2,4,0.0180890923721687
"Washington__all","Washington","all",4,4,0.028984765913469
"Washington__all","Washington","all",6,4,0.0254935992738455
"Washington__all","Washington","all",2,6,0.0156983976426384
"Washington__all","Washington","all",4,6,0.0254935992738455
"Washington__all","Washington","all",6,6,0.023482409511983
"Abilene__ride","Abilene","ride",2,2,0.0457103011571321
"Abilene__ride","Abilene","ride",4,2,0.0873211235051252
"Abilene__ride","Abilene","ride",6,2,0.120733014840857
"Abilene__ride","Abilene","ride",2,4,0.0873211235051252
"Abilene__ride","Abilene","ride",4,4,0.166864073423725
"Abilene__ride","Abilene","ride",6,4,0.230850654884463
"Abilene__ride","Abilene","ride",2,6,0.120733014840857
"Abilene__ride","Abilene","ride",4,6,0.230850654884463
"Abilene__ride","Abilene","ride",6,6,0.319737550654773
"Amarillo__ride","Amarillo","ride",2,2,0.225602521570587
"Amarillo__ride","Amarillo","ride",4,2,0.358429184986018
"Amarillo__ride","Amarillo","ride",6,2,0.305704194716902
"Amarillo__ride","Amarillo","ride",2,4,0.358429184986018
"Amarillo__ride","Amarillo","ride",4,4,0.574040468773616
"Amarillo__ride","Amarillo","ride",6,4,0.504015900061704
"Amarillo__ride","Amarillo","ride",2,6,0.305704194716902
"Amarillo__ride","Amarillo","ride",4,6,0.504015900061704
"Amarillo__ride","Amarillo","ride",6,6,0.487542639185648
"Arlington__ride","Arlington","ride",2,2,0.00126939113487293
"Arlington__ride","Arlington","ride",4,2,0.002472834496257
"Arlington__ride","Arlington","ride",6,2,0.00354438311023936
"Arlington__ride","Arlington","ride",2,4,0.002472834496257
"Arlington__ride","Arlington","ride",4,4,0.00481780994217021
"Arlington__ride","Arlington","ride",6,4,0.00690706664773507
"Arlington__ride","Arlington","ride",2,6,0.00354438311023936
"Arlington__ride","Arlington","ride",4,6,0.00690706664773507
"Arlington__ride","Arlington","ride",6,6,0.00990635119965868
"Atlanta__ride","Atlanta","ride",2,2,0.0836768726499847
"Atlanta__ride","Atlanta","ride",4,2,0.122338778892787
"Atlanta__ride","Atlanta","ride",6,2,0.0736353258450841
"Atlanta__ride","Atlanta","ride",2,4,0.122338778892787
"Atlanta__ride","Atlanta","ride",4,4,0.198014899609438
"Atlanta__ride","Atlanta","ride",6,4,0.182800829413451
"Atlanta__ride","Atlanta","ride",2,6,0.0736353258450841
"Atlanta__ride","Atlanta","ride",4,6,0.182800829413451
"Atlanta__ride","Atlanta","ride",6,6,0.359642460749685
"Austin__ride","Austin","ride",2,2,0.000110371396462329
"Austin__ride","Austin","ride",4,2,0.000213838043501256
"Austin__ride","Austin","ride",6,2,0.000303495691693376
"Austin__ride","Austin","ride",2,4,0.000213838043501256
"Austin__ride","Austin","ride",4,4,0.000414362549406238
"Austin__ride","Austin","ride",6,4,0.000588259580118673
"Austin__ride","Austin","ride",2,6,0.000303495691693376
"Austin__ride","Austin","ride",4,6,0.000588259580118673
"Austin__ride","Austin","ride",6,6,0.000835559962007808
"Bakersfield__ride","Bakersfield","ride",2,2,0.00278724848466689
"Bakersfield__ride","Bakersfield","ride",4,2,0.0051585915015669
"Bakersfield__ride","Bakersfield","ride",6,2,0.00669812501275153
"Bakersfield__ride","Bakersfield","ride",2,4,0.0051585915015669
"Bakersfield__ride","Bakersfield","ride",4,4,0.00956023415697277
"Bakersfield__ride","Bakersfield","ride",6,4,0.0124479779762019
"Bakersfield__ride","Bakersfield","ride",2,6,0.00669812501275153
"Bakersfield__ride","Bakersfield","ride",4,6,0.0124479779762019
"Bakersfield__ride","Bakersfield","ride",6,6,0.0163012871270135
"Baltimore__ride","Baltimore","ride",2,2,0.00779168760161799
"Baltimore__ride","Baltimore","ride",4,2,0.0130415914921611
"Baltimore__ride","Baltimore","ride",6,2,0.0132079306585589
"Baltimore__ride","Baltimore","ride",2,4,0.0130415914921611
"Baltimore__ride","Baltimore","ride",4,4,0.0220071529082464
"Baltimore__ride","Baltimore","ride",6,4,0.0228206520137767
"Baltimore__ride","Baltimore","ride",2,6,0.0132079306585589
"Baltimore__ride","Baltimore","ride",4,6,0.0228206520137767
"Baltimore__ride","Baltimore","ride",6,6,0.0252429553019129
"Boston__ride","Boston","ride",2,2,15.8071702836348
"Boston__ride","Boston","ride",4,2,28.0033621087462
"Boston__ride","Boston","ride",6,2,32.9776037291269
"Boston__ride","Boston","ride",2,4,28.0033621087462
"Boston__ride","Boston","ride",4,4,49.612165610766
"Boston__ride","Boston","ride",6,4,58.4318465294801
"Boston__ride","Boston","ride",2,6,32.9776037291269
"Boston__ride","Boston","ride",4,6,58.4318465294801
"Boston__ride","Boston","ride",6,6,68.8393688147489
"Cape_Coral__ride","Cape_Coral","ride",2,2,0.191595777821195
"Cape_Coral__ride","Cape_Coral","ride",4,2,0.120724764070526
"Cape_Coral__ride","Cape_Coral","ride",6,2,-0.137074895936805
"Cape_Coral__ride","Cape_Coral","ride",2,4,0.120724764070526
"Cape_Coral__ride","Cape_Coral","ride",4,4,0.165764013017443
"Cape_Coral__ride","Cape_Coral","ride",6,4,0.123545055004577
"Cape_Coral__ride","Cape_Coral","ride",2,6,-0.137074895936805
"Cape_Coral__ride","Cape_Coral","ride",4,6,0.123545055004577
"Cape_Coral__ride","Cape_Coral","ride",6,6,0.591834858468351
"Chandler__ride","Chandler","ride",2,2,0.0125463983979561
"Chandler__ride","Chandler","ride",4,2,0.0210463768032528
"Chandler__ride","Chandler","ride",6,2,0.0216609391641014
"Chandler__ride","Chandler","ride",2,4,0.0210463768032528
"Chandler__ride","Chandler","ride",4,4,0.0355304798346692
"Chandler__ride","Chandler","ride",6,4,0.0372241382037866
"Chandler__ride","Chandler","ride",2,6,0.0216609391641014
"Chandler__ride","Chandler","ride",4,6,0.0372241382037866
"Chandler__ride","Chandler","ride",6,6,0.0408954636421323
"Charleston__ride","Charleston","ride",2,2,0.0161768039328862
"Charleston__ride","Charleston","ride",4,2,0.0219490116773481
"Charleston__ride","Charleston","ride",6,2,0.0118338327261213
"Charleston__ride","Charleston","ride",2,4,0.0219490116773481
"Charleston__ride","Charleston","ride",4,4,0.033806787816837
"Charleston__ride","Charleston","ride",6,4,0.0298393891362738
"Charleston__ride","Charleston","ride",2,6,0.0118338327261213
"Charleston__ride","Charleston","ride",4,6,0.0298393891362738
"Charleston__ride","Charleston","ride",6,6,0.0558663006937148
"Charlotte__ride","Charlotte","ride",2,2,0.0159720749390907
"Charlotte__ride","Charlotte","ride",4,2,0.0240653553837462
"Charlotte__ride","Charlotte","ride",6,2,0.016404185283084
"Charlotte__ride","Charlotte","ride",2,4,0.0240653553837462
"Charlotte__ride","Charlotte","ride",4,4,0.0371216242929973
"Charlotte__ride","Charlotte","ride",6,4,0.0281639636895773
"Charlotte__ride","Charlotte","ride",2,6,0.016404185283084
"Charlotte__ride","Charlotte","ride",4,6,0.0281639636895773
"Charlotte__ride","Charlotte","ride",6,6,0.030636242726872
"Chicago__ride","Chicago","ride",2,2,0.171855570535472
"Chicago__ride","Chicago","ride",4,2,0.302455367047189
"Chicago__ride","Chicago","ride",6,2,0.350543686964079
"Chicago__ride","Chicago","ride",2,4,0.302455367047189
"Chicago__ride","Chicago","ride",4,4,0.533129201976962
"Chicago__ride","Chicago","ride",6,4,0.620239915509758
"Chicago__ride","Chicago","ride",2,6,0.350543686964079
"Chicago__ride","Chicago","ride",4,6,0.620239915509758
"Chicago__ride","Chicago","ride",6,6,0.728241241509171
"Cincinnati__ride","Cincinnati","ride",2,2,0.535521968309611
"Cincinnati__ride","Cincinnati","ride",4,2,0.875971458819653
"Cincinnati__ride","Cincinnati","ride",6,2,0.82627616704822
"Cincinnati__ride","Cincinnati","ride",2,4,0.875971458819653
"Cincinnati__ride","Cincinnati","ride",4,4,1.45407946647287
"Cincinnati__ride","Cincinnati","ride",6,4,1.43646043313909
"Cincinnati__ride","Cincinnati","ride",2,6,0.82627616704822
"Cincinnati__ride","Cincinnati","ride",4,6,1.43646043313909
"Cincinnati__ride","Cincinnati","ride",6,6,1.6144609319788
"Clearwater__ride","Clearwater","ride",2,2,0.202392323169731
"Clearwater__ride","Clearwater","ride",4,2,0.0172800722895197
"Clearwater__ride","Clearwater","ride",6,2,-0.330023007174133
"Clearwater__ride","Clearwater","ride",2,4,0.0172800722895197
"Clearwater__ride","Clearwater","ride",4,4,3.91697150731574
"Clearwater__ride","Clearwater","ride",6,4,8.5849392015319
"Clearwater__ride","Clearwater","ride",2,6,-0.330023007174133
"Clearwater__ride","Clearwater","ride",4,6,8.5849392015319
"Clearwater__ride","Clearwater","ride",6,6,19.4859093106744
"Cleveland__ride","Cleveland","ride",2,2,928547088.137118
"Cleveland__ride","Cleveland","ride",4,2,1628289546.92847
"Cleveland__ride","Cleveland","ride",6,2,1870423124.73855
"Cleveland__ride","Cleveland","ride",2,4,1628289546.92847
"Cleveland__ride","Cleveland","ride",4,4,2855570863.92186
"Cleveland__ride","Cleveland","ride",6,4,3280835418.87688
"Cleveland__ride","Cleveland","ride",2,6,1870423124.73855
"Cleveland__ride","Cleveland","ride",4,6,3280835418.87688
"Cleveland__ride","Cleveland","ride",6,6,3771226127.35682
"Columbia__ride","Columbia","ride",2,2,0.0129154018973306
"Columbia__ride","Columbia","ride",4,2,0.0194296164119893
"Columbia__ride","Columbia","ride",6,2,0.0133456561712807
"Columbia__ride","Columbia","ride",2,4,0.0194296164119893
"Columbia__ride","Columbia","ride",4,4,0.0319143479857984
"Columbia__ride","Columbia","ride",6,4,0.0306991121071394
"Columbia__ride","Columbia","ride",2,6,0.0133456561712807
"Columbia__ride","Columbia","ride",4,6,0.0306991121071394
"Columbia__ride","Columbia","ride",6,6,0.0558152214192353
"Columbus__ride","Columbus","ride",2,2,0.0539200049083241
"Columbus__ride","Columbus","ride",4,2,0.0837426263376145
"Columbus__ride","Columbus","ride",6,2,0.0653704999846401
"Columbus__ride","Columbus","ride",2,4,0.0837426263376145
"Columbus__ride","Columbus","ride",4,4,0.140901039699601
"Columbus__ride","Columbus","ride",6,4,0.144891011769689
"Columbus__ride","Columbus","ride",2,6,0.0653704999846401
"Columbus__ride","Columbus","ride",4,6,0.144891011769689
"Columbus__ride","Columbus","ride",6,6,0.252711550990715
"Corpus_Christi__ride","Corpus_Christi","ride",2,2,584461560.383918
"Corpus_Christi__ride","Corpus_Christi","ride",4,2,702191730.47587
"Corpus_Christi__ride","Corpus_Christi","ride",6,2,410970153.299367
"Corpus_Christi__ride","Corpus_Christi","ride",2,4,702191730.47587
"Corpus_Christi__ride","Corpus_Christi","ride",4,4,939908457.64398
"Corpus_Christi__ride","Corpus_Christi","ride",6,4,750040820.720578
"Corpus_Christi__ride","Corpus_Christi","ride",2,6,410970153.299367
"Corpus_Christi__ride","Corpus_Christi","ride",4,6,750040820.720578
"Corpus_Christi__ride","Corpus_Christi","ride",6,6,972103360.700088
"Dallas__ride","Dallas","ride",2,2,9.08596402506174e-05
"Dallas__ride","Dallas","ride",4,2,0.000178745329730269
"Dallas__ride","Dallas","ride",6,2,0.000260683617667992
"Dallas__ride","Dallas","ride",2,4,0.000178745329730269
"Dallas__ride","Dallas","ride",4,4,0.000351649790548609
"Dallas__ride","Dallas","ride",6,4,0.000512872113543091
"Dallas__ride","Dallas","ride",2,6,0.000260683617667992
"Dallas__ride","Dallas","ride",4,6,0.000512872113543091
"Dallas__ride","Dallas","ride",6,6,0.000748070465832411
"Detroit__ride","Detroit","ride",2,2,18.2302186009907
"Detroit__ride","Detroit","ride",4,2,25.8463391476673
"Detroit__ride","Detroit","ride",6,2,12.2342667652187
"Detroit__ride","Detroit","ride",2,4,25.8463391476673
"Detroit__ride","Detroit","ride",4,4,36.7465591494271
"Detroit__ride","Detroit","ride",6,4,17.7545383154907
"Detroit__ride","Detroit","ride",2,6,12.2342667652187
"Detroit__ride","Detroit","ride",4,6,17.7545383154907
"Detroit__ride","Detroit","ride",6,6,9.84682007153362
"Fort_Worth__ride","Fort_Worth","ride",2,2,0.000401300319741955
"Fort_Worth__ride","Fort_Worth","ride",4,2,0.000778315926178059
"Fort_Worth__ride","Fort_Worth","ride",6,2,0.00110676260600246
"Fort_Worth__ride","Fort_Worth","ride",2,4,0.000778315926178059
"Fort_Worth__ride","Fort_Worth","ride",4,4,0.00150977271896661
"Fort_Worth__ride","Fort_Worth","ride",6,4,0.00214751084497615
"Fort_Worth__ride","Fort_Worth","ride",2,6,0.00110676260600246
"Fort_Worth__ride","Fort_Worth","ride",4,6,0.00214751084497615
"Fort_Worth__ride","Fort_Worth","ride",6,6,0.00305623044989233
"Fresno__ride","Fresno","ride",2,2,0.00151289238192004
"Fresno__ride","Fresno","ride",4,2,0.00290356476231458
"Fresno__ride","Fresno","ride",6,2,0.004049798037497
"Fresno__ride","Fresno","ride",2,4,0.00290356476231458
"Fresno__ride","Fresno","ride",4,4,0.0055748360823429
"Fresno__ride","Fresno","ride",6,4,0.00778151979952759
"Fresno__ride","Fresno","ride",2,6,0.004049798037497
"Fresno__ride","Fresno","ride",4,6,0.00778151979952759
"Fresno__ride","Fresno","ride",6,6,0.0108770891901931
"Gilbert__ride","Gilbert","ride",2,2,0.0173943134805222
"Gilbert__ride","Gilbert","ride",4,2,0.029056973372916
"Gilbert__ride","Gilbert","ride",6,2,0.0295684867287168
"Gilbert__ride","Gilbert","ride",2,4,0.029056973372916
"Gilbert__ride","Gilbert","ride",4,4,0.0491262034702147
"Gilbert__ride","Gilbert","ride",6,4,0.0517035382149505
"Gilbert__ride","Gilbert","ride",2,6,0.0295684867287168
"Gilbert__ride","Gilbert","ride",4,6,0.0517035382149505
"Gilbert__ride","Gilbert","ride",6,6,0.0593533756206981
"Henderson__ride","Henderson","ride",2,2,0.00638106456611946
"Henderson__ride","Henderson","ride",4,2,0.0117151539467563
"Henderson__ride","Henderson","ride",6,2,0.0149552961173194
"Henderson__ride","Henderson","ride",2,4,0.0117151539467563
"Henderson__ride","Henderson","ride",4,4,0.0215299210713249
"Henderson__ride","Henderson","ride",6,4,0.0275439120228048
"Henderson__ride","Henderson","ride",2,6,0.0149552961173194
"Henderson__ride","Henderson","ride",4,6,0.0275439120228048
"Henderson__ride","Henderson","ride",6,6,0.0353991681368004
"Houston__ride","Houston","ride",2,2,0.000331029336018203
"Houston__ride","Houston","ride",4,2,0.000620910547325895
"Houston__ride","Houston","ride",6,2,0.000828829890028967
"Houston__ride","Houston","ride",2,4,0.000620910547325895
"Houston__ride","Houston","ride",4,4,0.00116594754278795
"Houston__ride","Houston","ride",6,4,0.00155985142905399
"Houston__ride","Houston","ride",2,6,0.000828829890028967
"Houston__ride","Houston","ride",4,6,0.00155985142905399
"Houston__ride","Houston","ride",6,6,0.00209604498454668
"Indianapolis__ride","Indianapolis","ride",2,2,0.0229208493685877
"Indianapolis__ride","Indianapolis","ride",4,2,0.035643372558023
"Indianapolis__ride","Indianapolis","ride",6,2,0.0279692506625744
"Indianapolis__ride","Indianapolis","ride",2,4,0.035643372558023
"Indianapolis__ride","Indianapolis","ride",4,4,0.0586052746616391
"Indianapolis__ride","Indianapolis","ride",6,4,0.056204230037708
"Indianapolis__ride","Indianapolis","ride",2,6,0.0279692506625744
"Indianapolis__ride","Indianapolis","ride",4,6,0.056204230037708
"Indianapolis__ride","Indianapolis","ride",6,6,0.0849706682926464
"Jacksonville__ride","Jacksonville","ride",2,2,0.0184640880842186
"Jacksonville__ride","Jacksonville","ride",4,2,0.0253429307158159
"Jacksonville__ride","Jacksonville","ride",6,2,0.0177242486642144
"Jacksonville__ride","Jacksonville","ride",2,4,0.0253429307158159
"Jacksonville__ride","Jacksonville","ride",4,4,0.0387893255904594
"Jacksonville__ride","Jacksonville","ride",6,4,0.0366405544050717
"Jacksonville__ride","Jacksonville","ride",2,6,0.0177242486642144
"Jacksonville__ride","Jacksonville","ride",4,6,0.0366405544050717
"Jacksonville__ride","Jacksonville","ride",6,6,0.0548781528624512
"Kansas_City__ride","Kansas_City","ride",2,2,0.00242593893887979
"Kansas_City__ride","Kansas_City","ride",4,2,0.00432599300463929
"Kansas_City__ride","Kansas_City","ride",6,2,0.00517476397012605
"Kansas_City__ride","Kansas_City","ride",2,4,0.00432599300463929
"Kansas_City__ride","Kansas_City","ride",4,4,0.00775167824999341
"Kansas_City__ride","Kansas_City","ride",6,4,0.00937756657519152
"Kansas_City__ride","Kansas_City","ride",2,6,0.00517476397012605
"Kansas_City__ride","Kansas_City","ride",4,6,0.00937756657519152
"Kansas_City__ride","Kansas_City","ride",6,6,0.0116372968568637
"Las_Vegas__ride","Las_Vegas","ride",2,2,0.00479811035803471
"Las_Vegas__ride","Las_Vegas","ride",4,2,0.008290838829556
"Las_Vegas__ride","Las_Vegas","ride",6,2,0.00917849789602705
"Las_Vegas__ride","Las_Vegas","ride",2,4,0.008290838829556
"Las_Vegas__ride","Las_Vegas","ride",4,4,0.0143979721508429
"Las_Vegas__ride","Las_Vegas","ride",6,4,0.0161471129395944
"Las_Vegas__ride","Las_Vegas","ride",2,6,0.00917849789602705
"Las_Vegas__ride","Las_Vegas","ride",4,6,0.0161471129395944
"Las_Vegas__ride","Las_Vegas","ride",6,6,0.0187051892947253
"Los_Angeles__ride","Los_Angeles","ride",2,2,0.141721063490357
"Los_Angeles__ride","Los_Angeles","ride",4,2,0.252584286904442
"Los_Angeles__ride","Los_Angeles","ride",6,2,0.30173189195012
"Los_Angeles__ride","Los_Angeles","ride",2,4,0.252584286904442
"Los_Angeles__ride","Los_Angeles","ride",4,4,0.450285591814083
"Los_Angeles__ride","Los_Angeles","ride",6,4,0.538220883306818
"Los_Angeles__ride","Los_Angeles","ride",2,6,0.30173189195012
"Los_Angeles__ride","Los_Angeles","ride",4,6,0.538220883306818
"Los_Angeles__ride","Los_Angeles","ride",6,6,0.6442240858335
"Louisville__ride","Louisville","ride",2,2,0.231726720807732
"Louisville__ride","Louisville","ride",4,2,0.375112964157225
"Louisville__ride","Louisville","ride",6,2,0.341818323830828
"Louisville__ride","Louisville","ride",2,4,0.375112964157225
"Louisville__ride","Louisville","ride",4,4,0.615251779794839
"Louisville__ride","Louisville","ride",6,4,0.585442241400736
"Louisville__ride","Louisville","ride",2,6,0.341818323830828
"Louisville__ride","Louisville","ride",4,6,0.585442241400737
"Louisville__ride","Louisville","ride",6,6,0.6326773606969
"Lubbock__ride","Lubbock","ride",2,2,0.0197183617149692
"Lubbock__ride","Lubbock","ride",4,2,0.0362152003352297
"Lubbock__ride","Lubbock","ride",6,2,0.0462690025878797
"Lubbock__ride","Lubbock","ride",2,4,0.0362152003352297
"Lubbock__ride","Lubbock","ride",4,4,0.0666415155136894
"Lubbock__ride","Lubbock","ride",6,4,0.0854900525211631
"Lubbock__ride","Lubbock","ride",2,6,0.0462690025878797
"Lubbock__ride","Lubbock","ride",4,6,0.0854900525211631
"Lubbock__ride","Lubbock","ride",6,6,0.110615199109614
"Mesa__ride","Mesa","ride",2,2,0.0243372530249528
"Mesa__ride","Mesa","ride",4,2,0.0401594625794237
"Mesa__ride","Mesa","ride",6,2,0.0394148042851386
"Mesa__ride","Mesa","ride",2,4,0.0401594625794237
"Mesa__ride","Mesa","ride",4,4,0.0669482190273355
"Mesa__ride","Mesa","ride",6,4,0.0677167290318534
"Mesa__ride","Mesa","ride",2,6,0.0394148042851386
"Mesa__ride","Mesa","ride",4,6,0.0677167290318534
"Mesa__ride","Mesa","ride",6,6,0.0743730883295855
"Miami__ride","Miami","ride",2,2,61.9061997591023
"Miami__ride","Miami","ride",4,2,99.2566902150901
"Miami__ride","Miami","ride",6,2,-1056.25567240595
"Miami__ride","Miami","ride",2,4,99.2566902150901
"Miami__ride","Miami","ride",4,4,3304.92847423648
"Miami__ride","Miami","ride",6,4,15393.7462306995
"Miami__ride","Miami","ride",2,6,-1056.25567240595
"Miami__ride","Miami","ride",4,6,15393.7462306995
"Miami__ride","Miami","ride",6,6,126615.797248904
"Milwaukee__ride","Milwaukee","ride",2,2,0.347005374091916
"Milwaukee__ride","Milwaukee","ride",4,2,0.639904244887707
"Milwaukee__ride","Milwaukee","ride",6,2,0.824590284036488
"Milwaukee__ride","Milwaukee","ride",2,4,0.639904244887707
"Milwaukee__ride","Milwaukee","ride",4,4,1.18099748942653
"Milwaukee__ride","Milwaukee","ride",6,4,1.52446859331138
"Milwaukee__ride","Milwaukee","ride",2,6,0.824590284036488
"Milwaukee__ride","Milwaukee","ride",4,6,1.52446859331138
"Milwaukee__ride","Milwaukee","ride",6,6,1.97492298805211
"Minneapolis__ride","Minneapolis","ride",2,2,23.9697170272487
"Minneapolis__ride","Minneapolis","ride",4,2,41.7907724427241
"Minneapolis__ride","Minneapolis","ride",6,2,47.3145141466925
"Minneapolis__ride","Minneapolis","ride",2,4,41.7907724427241
"Minneapolis__ride","Minneapolis","ride",4,4,72.8626766954688
"Minneapolis__ride","Minneapolis","ride",6,4,82.4968369586232
"Minneapolis__ride","Minneapolis","ride",2,6,47.3145141466925
"Minneapolis__ride","Minneapolis","ride",4,6,82.4968369586232
"Minneapolis__ride","Minneapolis","ride",6,6,93.4147790034379
"Miramar__ride","Miramar","ride",2,2,0.707036553143015
"Miramar__ride","Miramar","ride",4,2,0.193842212363446
"Miramar__ride","Miramar","ride",6,2,-0.186731177960549
"Miramar__ride","Miramar","ride",2,4,0.193842212363446
"Miramar__ride","Miramar","ride",4,4,4.76239610819668
"Miramar__ride","Miramar","ride",6,4,3.74216769727785
"Miramar__ride","Miramar","ride",2,6,-0.186731177960549
"Miramar__ride","Miramar","ride",4,6,3.74216769727785
"Miramar__ride","Miramar","ride",6,6,3.41767681467768
"Nashville__ride","Nashville","ride",2,2,0.0114611196120597
"Nashville__ride","Nashville","ride",4,2,0.0184163335202097
"Nashville__ride","Nashville","ride",6,2,0.016435668090567
"Nashville__ride","Nashville","ride",2,4,0.0184163335202097
"Nashville__ride","Nashville","ride",4,4,0.0297853680301379
"Nashville__ride","Nashville","ride",6,4,0.0271781787179695
"Nashville__ride","Nashville","ride",2,6,0.016435668090567
"Nashville__ride","Nashville","ride",4,6,0.0271781787179695
