"model_id","city","activity_type","row_exposure","col_exposure","covariance"
"Charleston__all","Charleston","all",2,6,0.00581123753509615
"Charleston__all","Charleston","all",4,6,0.020084503812367
"Charleston__all","Charleston","all",6,6,0.046075486419026
"Charlotte__all","Charlotte","all",2,2,0.0128580277219898
"Charlotte__all","Charlotte","all",4,2,0.0192530595414764
"Charlotte__all","Charlotte","all",6,2,0.0127247121907207
"Charlotte__all","Charlotte","all",2,4,0.0192530595414764
"Charlotte__all","Charlotte","all",4,4,0.0295253574073407
"Charlotte__all","Charlotte","all",6,4,0.0218396475827501
"Charlotte__all","Charlotte","all",2,6,0.0127247121907207
"Charlotte__all","Charlotte","all",4,6,0.0218396475827501
"Charlotte__all","Charlotte","all",6,6,0.0237360547243665
"Chicago__all","Chicago","all",2,2,0.178671198476502
"Chicago__all","Chicago","all",4,2,0.314450531756898
"Chicago__all","Chicago","all",6,2,0.364446208919279
"Chicago__all","Chicago","all",2,4,0.314450531756898
"Chicago__all","Chicago","all",4,4,0.554252325733036
"Chicago__all","Chicago","all",6,4,0.644756584728294
"Chicago__all","Chicago","all",2,6,0.364446208919279
"Chicago__all","Chicago","all",4,6,0.644756584728294
"Chicago__all","Chicago","all",6,6,0.756795309171619
"Cincinnati__all","Cincinnati","all",2,2,0.442355416463776
"Cincinnati__all","Cincinnati","all",4,2,0.709028269742851
"Cincinnati__all","Cincinnati","all",6,2,0.624336129220374
"Cincinnati__all","Cincinnati","all",2,4,0.709028269742851
"Cincinnati__all","Cincinnati","all",4,4,1.1556138555538
"Cincinnati__all","Cincinnati","all",6,4,1.07731396744665
"Cincinnati__all","Cincinnati","all",2,6,0.624336129220374
"Cincinnati__all","Cincinnati","all",4,6,1.07731396744665
"Cincinnati__all","Cincinnati","all",6,6,1.18757525019828
"Clearwater__all","Clearwater","all",2,2,0.159433341178646
"Clearwater__all","Clearwater","all",4,2,-0.00475390775229839
"Clearwater__all","Clearwater","all",6,2,-0.299992983721555
"Clearwater__all","Clearwater","all",2,4,-0.00475390775229839
"Clearwater__all","Clearwater","all",4,4,2.96541770931202
"Clearwater__all","Clearwater","all",6,4,6.53309417826312
"Clearwater__all","Clearwater","all",2,6,-0.299992983721555
"Clearwater__all","Clearwater","all",4,6,6.53309417826312
"Clearwater__all","Clearwater","all",6,6,14.9196463715365
"Cleveland__all","Cleveland","all",2,2,3173094.83983408
"Cleveland__all","Cleveland","all",4,2,4978461.89028638
"Cleveland__all","Cleveland","all",6,2,4048374.16972108
"Cleveland__all","Cleveland","all",2,4,4978461.89028638
"Cleveland__all","Cleveland","all",4,4,7811661.27208245
"Cleveland__all","Cleveland","all",6,4,6354334.99070679
"Cleveland__all","Cleveland","all",2,6,4048374.16972108
"Cleveland__all","Cleveland","all",4,6,6354334.99070679
"Cleveland__all","Cleveland","all",6,6,5175469.27577553
"Columbia__all","Columbia","all",2,2,0.00940897027293649
"Columbia__all","Columbia","all",4,2,0.0144120629371224
"Columbia__all","Columbia","all",6,2,0.010739117780963
"Columbia__all","Columbia","all",2,4,0.0144120629371224
"Columbia__all","Columbia","all",4,4,0.0236400691358357
