"model_id","city","activity_type","exposure","log_rr"
"Milwaukee__run","Milwaukee","run",6,-9.82486968971247
"Minneapolis__run","Minneapolis","run",2,-15.3073093782497
"Minneapolis__run","Minneapolis","run",4,-26.537674391269
"Minneapolis__run","Minneapolis","run",6,-29.6141506738276
"Miramar__run","Miramar","run",2,-2.31989907915824
"Miramar__run","Miramar","run",4,-6.05050884749617
"Miramar__run","Miramar","run",6,-4.7414354379765
"Nashville__run","Nashville","run",2,-0.178713175691573
"Nashville__run","Nashville","run",4,-0.271717558177464
"Nashville__run","Nashville","run",6,-0.198403993122497
"New_York__run","New_York","run",2,-0.0703344492227093
"New_York__run","New_York","run",4,-0.142408549461075
"New_York__run","New_York","run",6,-0.217961951730753
"Newark__run","Newark","run",2,-86.4977923305535
"Newark__run","Newark","run",4,-161.035322479315
"Newark__run","Newark","run",6,-211.652328264492
"Oklahoma_City__run","Oklahoma_City","run",2,-0.039359278975557
"Oklahoma_City__run","Oklahoma_City","run",4,-0.0748985223344545
"Oklahoma_City__run","Oklahoma_City","run",6,-0.102797694460035
"Orlando__run","Orlando","run",2,0.190391023284755
"Orlando__run","Orlando","run",4,0.334511402802403
"Orlando__run","Orlando","run",6,0.357675127587748
"Overland_Park__run","Overland_Park","run",2,0.0709258188337287
"Overland_Park__run","Overland_Park","run",4,0.070685882282767
"Overland_Park__run","Overland_Park","run",6,-0.0718203832913034
"Palm_Bay__run","Palm_Bay","run",2,0.505175942041205
"Palm_Bay__run","Palm_Bay","run",4,-2.47779787329728
"Palm_Bay__run","Palm_Bay","run",6,-209.114295594368
"Philadelphia__run","Philadelphia","run",2,0.4931181345444
"Philadelphia__run","Philadelphia","run",4,0.816715193019464
"Philadelphia__run","Philadelphia","run",6,0.801270099355857
"Phoenix__run","Phoenix","run",2,-0.259304907282893
"Phoenix__run","Phoenix","run",4,-0.437803159233802
"Phoenix__run","Phoenix","run",6,-0.464092669552828
"Raleigh__run","Raleigh","run",2,-0.044772489618718
"Raleigh__run","Raleigh","run",4,-0.0837040982531669
"Raleigh__run","Raleigh","run",6,-0.110560358346314
"Richmond__run","Richmond","run",2,-0.315271055322426
"Richmond__run","Richmond","run",4,-0.534867141111709
"Richmond__run","Richmond","run",6,-0.563113287834707
"Riverside__run","Riverside","run",2,-1.3989682717438
"Riverside__run","Riverside","run",4,-2.25113427446297
"Riverside__run","Riverside","run",6,-2.00969573913292
"Sacramento__run","Sacramento","run",2,-0.384110390509369
"Sacramento__run","Sacramento","run",4,-0.752359346478359
"Sacramento__run","Sacramento","run",6,-1.08888543336659
"San_Antonio__run","San_Antonio","run",2,-0.0274305017646245
"San_Antonio__run","San_Antonio","run",4,-0.0404506902311949
"San_Antonio__run","San_Antonio","run",6,-0.0280970156905178
"San_Bernardino__run","San_Bernardino","run",2,-2.39984725977275
"San_Bernardino__run","San_Bernardino","run",4,-3.88214651553977
"San_Bernardino__run","San_Bernardino","run",6,-3.52934976329534
"San_Jose__run","San_Jose","run",2,-0.0216126420793264
"San_Jose__run","San_Jose","run",4,-0.0417274067097821
"San_Jose__run","San_Jose","run",6,-0.0588464164424967
"Scottsdale__run","Scottsdale","run",2,-0.121931394423645
"Scottsdale__run","Scottsdale","run",4,-0.211950407787467
"Scottsdale__run","Scottsdale","run",6,-0.240457936827121
"St_Louis__run","St_Louis","run",2,-0.288569540434722
"St_Louis__run","St_Louis","run",4,-0.5129489636475
"St_Louis__run","St_Louis","run",6,-0.610094708382781
"St_Petersburg__run","St_Petersburg","run",2,1.49361997653729
"St_Petersburg__run","St_Petersburg","run",4,-0.226951376138797
"St_Petersburg__run","St_Petersburg","run",6,-3.46871181389771
"Tallahassee__run","Tallahassee","run",2,-0.558287073705382
"Tallahassee__run","Tallahassee","run",4,-1.37420603527039
"Tallahassee__run","Tallahassee","run",6,-1.85752523985107
"Tampa__run","Tampa","run",2,0.0152191158058825
"Tampa__run","Tampa","run",4,-0.123236591238032
"Tampa__run","Tampa","run",6,-0.411002166743506
"Tucson__run","Tucson","run",2,0.132799319738096
"Tucson__run","Tucson","run",4,0.237083082652305
"Tucson__run","Tucson","run",6,0.286976380179451
"Virginia_Beach__run","Virginia_Beach","run",2,-0.487129330498329
"Virginia_Beach__run","Virginia_Beach","run",4,-0.557631622855972
"Virginia_Beach__run","Virginia_Beach","run",6,0.00130529119601519
"Visalia__run","Visalia","run",2,-0.16196656669251
"Visalia__run","Visalia","run",4,-0.305905142806145
"Visalia__run","Visalia","run",6,-0.413787737762029
"Washington__run","Washington","run",2,0.154754741128656
"Washington__run","Washington","run",4,0.293135851422098
"Washington__run","Washington","run",6,0.398769700045106
"Abilene__walk","Abilene","walk",2,-1.13533425010973
"Abilene__walk","Abilene","walk",4,-2.07015088301927
"Abilene__walk","Abilene","walk",6,-2.60393228152839
"Amarillo__walk","Amarillo","walk",2,-3.31003111756834
"Amarillo__walk","Amarillo","walk",4,-5.20993922678298
"Amarillo__walk","Amarillo","walk",6,-4.28960131929023
"Arlington__walk","Arlington","walk",2,0.101735942625899
"Arlington__walk","Arlington","walk",4,0.200441775826738
"Arlington__walk","Arlington","walk",6,0.293087390177456
"Atlanta__walk","Atlanta","walk",2,-12.127108068218
"Atlanta__walk","Atlanta","walk",4,-19.331204250152
"Atlanta__walk","Atlanta","walk",6,-17.0372199095386
"Austin__walk","Austin","walk",2,-0.00780569680123665
"Austin__walk","Austin","walk",4,-0.0137522808532786
"Austin__walk","Austin","walk",6,-0.0159806394069313
"Bakersfield__walk","Bakersfield","walk",2,-0.295530621166206
"Bakersfield__walk","Bakersfield","walk",4,-0.529556552908932
"Bakersfield__walk","Bakersfield","walk",6,-0.640573105804698
"Baltimore__walk","Baltimore","walk",2,-0.0338821612227171
"Baltimore__walk","Baltimore","walk",4,-0.0602733052054094
"Baltimore__walk","Baltimore","walk",6,-0.071682414708053
"Boston__walk","Boston","walk",2,-32.7887604472106
"Boston__walk","Boston","walk",4,-57.8290987251276
"Boston__walk","Boston","walk",6,-67.3725926644574
"Cape_Coral__walk","Cape_Coral","walk",2,-3.94674550868635
"Cape_Coral__walk","Cape_Coral","walk",4,-1.90573197943482
"Cape_Coral__walk","Cape_Coral","walk",6,4.21873926458995
"Chandler__walk","Chandler","walk",2,0.155084233150021
"Chandler__walk","Chandler","walk",4,0.460427753651054
"Chandler__walk","Chandler","walk",6,1.05519586611484
"Charleston__walk","Charleston","walk",2,0.590878954432526
"Charleston__walk","Charleston","walk",4,1.19960437490579
"Charleston__walk","Charleston","walk",6,-5.72293832415153
"Charlotte__walk","Charlotte","walk",2,0.354284931677583
"Charlotte__walk","Charlotte","walk",4,0.801307795547757
"Charlotte__walk","Charlotte","walk",6,1.43228475542577
"Chicago__walk","Chicago","walk",2,-5.3463633993872
"Chicago__walk","Chicago","walk",4,-10.1374586323891
"Chicago__walk","Chicago","walk",6,-13.8180175326204
"Cincinnati__walk","Cincinnati","walk",2,-3308.5718721375
"Cincinnati__walk","Cincinnati","walk",4,-6114.99065609835
"Cincinnati__walk","Cincinnati","walk",6,-7917.10326370593
"Clearwater__walk","Clearwater","walk",2,1.62517500970944
"Clearwater__walk","Clearwater","walk",4,-74.2185507691865
"Clearwater__walk","Clearwater","walk",6,-636.858185006985
"Cleveland__walk","Cleveland","walk",2,-74.8486289855035
"Cleveland__walk","Cleveland","walk",4,-133.054084601653
"Cleveland__walk","Cleveland","walk",6,-157.973193479096
"Columbia__walk","Columbia","walk",2,-1.28262548824814
"Columbia__walk","Columbia","walk",4,-1.65556260139772
"Columbia__walk","Columbia","walk",6,-0.24449404513885
"Columbus__walk","Columbus","walk",2,12.1326057407532
"Columbus__walk","Columbus","walk",4,9.69249846995808
"Columbus__walk","Columbus","walk",6,-21.8930348239446
"Corpus_Christi__walk","Corpus_Christi","walk",2,-1503.71520184434
"Corpus_Christi__walk","Corpus_Christi","walk",4,-1702.83635934609
"Corpus_Christi__walk","Corpus_Christi","walk",6,-876.8690830981
"Dallas__walk","Dallas","walk",2,-0.0379422942421882
"Dallas__walk","Dallas","walk",4,-0.0743610129349381
"Dallas__walk","Dallas","walk",6,-0.10773258052881
"Detroit__walk","Detroit","walk",2,-16.9366899996094
"Detroit__walk","Detroit","walk",4,-18.545368439809
"Detroit__walk","Detroit","walk",6,10.5019762387092
"Fort_Worth__walk","Fort_Worth","walk",2,0.0622176870556807
"Fort_Worth__walk","Fort_Worth","walk",4,0.124225793045397
"Fort_Worth__walk","Fort_Worth","walk",6,0.185814736903183
"Fresno__walk","Fresno","walk",2,-0.184113795724385
"Fresno__walk","Fresno","walk",4,-0.350672828933633
"Fresno__walk","Fresno","walk",6,-0.482122337112609
"Gilbert__walk","Gilbert","walk",2,-0.311042195822282
"Gilbert__walk","Gilbert","walk",4,-0.145882343516384
"Gilbert__walk","Gilbert","walk",6,0.912093946445566
"Henderson__walk","Henderson","walk",2,-0.0196286284555305
"Henderson__walk","Henderson","walk",4,-0.0261274561979449
"Henderson__walk","Henderson","walk",6,-0.00636668251412692
"Houston__walk","Houston","walk",2,0.0307124748262863
"Houston__walk","Houston","walk",4,0.0576651570810557
"Houston__walk","Houston","walk",6,0.0771305814769918
"Indianapolis__walk","Indianapolis","walk",2,-5.69107002761166
"Indianapolis__walk","Indianapolis","walk",4,-6.23473372006629
"Indianapolis__walk","Indianapolis","walk",6,3.51641525778632
"Jacksonville__walk","Jacksonville","walk",2,-0.451234409744764
"Jacksonville__walk","Jacksonville","walk",4,-1.08212262927034
"Jacksonville__walk","Jacksonville","walk",6,-1.85847284909105
"Kansas_City__walk","Kansas_City","walk",2,-0.316859259282284
"Kansas_City__walk","Kansas_City","walk",4,-0.528738185531978
"Kansas_City__walk","Kansas_City","walk",6,-0.530791724063242
"Las_Vegas__walk","Las_Vegas","walk",2,0.194042893840469
"Las_Vegas__walk","Las_Vegas","walk",4,0.375742549268408
"Las_Vegas__walk","Las_Vegas","walk",6,0.532689732091132
"Los_Angeles__walk","Los_Angeles","walk",2,-3.12010435034719
"Los_Angeles__walk","Los_Angeles","walk",4,-5.07431079159835
"Los_Angeles__walk","Los_Angeles","walk",6,-4.69672141465725
"Louisville__walk","Louisville","walk",2,-5.78116996146741
"Louisville__walk","Louisville","walk",4,-8.80200326499607
"Louisville__walk","Louisville","walk",6,-6.30216325264837
"Lubbock__walk","Lubbock","walk",2,-1.56553617035552
"Lubbock__walk","Lubbock","walk",4,-2.91833380868528
"Lubbock__walk","Lubbock","walk",6,-3.84565438296351
"Mesa__walk","Mesa","walk",2,-0.469468027843726
"Mesa__walk","Mesa","walk",4,-0.767256911818638
"Mesa__walk","Mesa","walk",6,-0.731603134990545
"Miami__walk","Miami","walk",2,5.8266903011725
"Miami__walk","Miami","walk",4,-81.7278476090934
"Miami__walk","Miami","walk",6,-936.786839177608
"Milwaukee__walk","Milwaukee","walk",2,455.052982543528
"Milwaukee__walk","Milwaukee","walk",4,452.500551505999
"Milwaukee__walk","Milwaukee","walk",6,-465.262706693647
"Minneapolis__walk","Minneapolis","walk",2,-1.94738856636519
"Minneapolis__walk","Minneapolis","walk",4,-2.50052432163193
"Minneapolis__walk","Minneapolis","walk",6,-0.265154454701815
"Miramar__walk","Miramar","walk",2,-1.65179779511229
"Miramar__walk","Miramar","walk",4,-13.6475189084007
"Miramar__walk","Miramar","walk",6,-81.9403980833744
"Nashville__walk","Nashville","walk",2,-0.0456020863539379
"Nashville__walk","Nashville","walk",4,0.148919361022138
"Nashville__walk","Nashville","walk",6,0.798974333318881
"New_York__walk","New_York","walk",2,0.249380036746713
"New_York__walk","New_York","walk",4,0.467904769174452
"New_York__walk","New_York","walk",6,0.624718892964244
"Newark__walk","Newark","walk",2,-5.61660036802402
"Newark__walk","Newark","walk",4,-8.15120161851858
"Newark__walk","Newark","walk",6,-4.52180463395425
"Oklahoma_City__walk","Oklahoma_City","walk",2,-0.0446444302928573
"Oklahoma_City__walk","Oklahoma_City","walk",4,-0.0805545920299764
"Oklahoma_City__walk","Oklahoma_City","walk",6,-0.0989962166556246
"Orlando__walk","Orlando","walk",2,-0.720177298761786
"Orlando__walk","Orlando","walk",4,-0.848217606376457
"Orlando__walk","Orlando","walk",6,-0.161609592152084
"Overland_Park__walk","Overland_Park","walk",2,-0.178425637598349
"Overland_Park__walk","Overland_Park","walk",4,-0.307131109523768
"Overland_Park__walk","Overland_Park","walk",6,-0.336423478434563
"Palm_Bay__walk","Palm_Bay","walk",2,6.95561888713928
"Palm_Bay__walk","Palm_Bay","walk",4,-204.414291227826
"Palm_Bay__walk","Palm_Bay","walk",6,-3312.73660879353
"Philadelphia__walk","Philadelphia","walk",2,0.136933625278642
"Philadelphia__walk","Philadelphia","walk",4,0.175344308673083
"Philadelphia__walk","Philadelphia","walk",6,0.0167091082991
"Phoenix__walk","Phoenix","walk",2,-0.0326218022479195
"Phoenix__walk","Phoenix","walk",4,-0.0389590130353766
"Phoenix__walk","Phoenix","walk",6,0.00347157891347738
"Raleigh__walk","Raleigh","walk",2,-0.263197594379452
"Raleigh__walk","Raleigh","walk",4,-0.291687219041322
"Raleigh__walk","Raleigh","walk",6,0.118581992416502
"Richmond__walk","Richmond","walk",2,-0.100503449089951
"Richmond__walk","Richmond","walk",4,-0.335684664460508
"Richmond__walk","Richmond","walk",6,-0.840221412392278
"Riverside__walk","Riverside","walk",2,-1.03991075034288
"Riverside__walk","Riverside","walk",4,-1.86604617660979
"Riverside__walk","Riverside","walk",6,-2.26463095472477
"Sacramento__walk","Sacramento","walk",2,-0.161801674096433
"Sacramento__walk","Sacramento","walk",4,-0.284757661900865
"Sacramento__walk","Sacramento","walk",6,-0.330022277121296
"San_Antonio__walk","San_Antonio","walk",2,-0.041852223941278
"San_Antonio__walk","San_Antonio","walk",4,-0.0666424441881256
"San_Antonio__walk","San_Antonio","walk",6,-0.0613130423201766
"San_Bernardino__walk","San_Bernardino","walk",2,-8.3080108409597
"San_Bernardino__walk","San_Bernardino","walk",4,-12.8391176315945
"San_Bernardino__walk","San_Bernardino","walk",6,-9.81641632157971
"San_Jose__walk","San_Jose","walk",2,-1.13178597362796
"San_Jose__walk","San_Jose","walk",4,-2.17870983371317
"San_Jose__walk","San_Jose","walk",6,-3.05590946671288
"Scottsdale__walk","Scottsdale","walk",2,-0.0563002891776621
"Scottsdale__walk","Scottsdale","walk",4,-0.18579684807358
"Scottsdale__walk","Scottsdale","walk",6,-0.456323795750813
"St_Louis__walk","St_Louis","walk",2,-0.207140538240266
"St_Louis__walk","St_Louis","walk",4,-0.388055816491852
"St_Louis__walk","St_Louis","walk",6,-0.516930858911448
"St_Petersburg__walk","St_Petersburg","walk",2,2.11702179350317
"St_Petersburg__walk","St_Petersburg","walk",4,3.27817299387592
"St_Petersburg__walk","St_Petersburg","walk",6,3.28104834047455
"Tallahassee__walk","Tallahassee","walk",2,0.717449800459764
"Tallahassee__walk","Tallahassee","walk",4,-0.854224057321467
"Tallahassee__walk","Tallahassee","walk",6,-2.74198738220928
"Tampa__walk","Tampa","walk",2,0.524101363705931
"Tampa__walk","Tampa","walk",4,0.159525852807523
"Tampa__walk","Tampa","walk",6,-1.21541607413031
"Tucson__walk","Tucson","walk",2,-0.278155511130594
"Tucson__walk","Tucson","walk",4,-0.523523300628911
"Tucson__walk","Tucson","walk",6,-0.706197424709106
"Virginia_Beach__walk","Virginia_Beach","walk",2,0.700711885458146
"Virginia_Beach__walk","Virginia_Beach","walk",4,1.08678144514146
"Virginia_Beach__walk","Virginia_Beach","walk",6,0.969185204805982
"Visalia__walk","Visalia","walk",2,-0.61216035989721
"Visalia__walk","Visalia","walk",4,-1.15201613414409
"Visalia__walk","Visalia","walk",6,-1.54726273709033
"Washington__walk","Washington","walk",2,0.209707377191482
"Washington__walk","Washington","walk",4,0.353448993321755
"Washington__walk","Washington","walk",6,0.365259087329609
