"metric","activity_type","predictor","variable_only","coefficient","se","ci_low","ci_high","joint_wald","joint_df","joint_p","significant","star_label","estimand","n_grid_rows","n_cities"
"gini","ride","total_20_55","Population (20-55)",-0.00128694616498943,0.00535508906802731,-0.011782920738323,0.0092090284083441,0.0760076191195164,3,0.994552175320721,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","GDP","GDP",-0.00868558556549659,0.00321189617805398,-0.0149809020744824,-0.00239026905651079,7.33330573191741,3,0.0619998379592046,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","Unemployment","Unemployment",0.00121206613389549,0.0033203774093139,-0.00529587358835976,0.00772000585615074,0.475544440368747,3,0.924230388632764,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","BD","Building Density",0.00921817121569889,0.00441483241696687,0.000565099678443823,0.017871242752954,6.95618526197902,3,0.0733074867972753,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","Urbanization_Rate","Urbanization Rate",-0.00595558789094297,0.00331185900834755,-0.0124468315473042,0.00053565576541822,6.0660742834725,3,0.108439447228456,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","Street_Intersection_Density","Street Intersection Density",-0.00849421157172999,0.00423697134923944,-0.0167986754162393,-0.000189747727220703,10.8096379902565,3,0.0128010543986683,TRUE,"*","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","Walkability_Index","Walkability Index",0.0138994139650435,0.0034495965878925,0.00713820465277417,0.0206606232773128,18.7854295079558,3,0.000302796495677549,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"mean","run","NDVI_2023","NDVI",0.0422951319265378,0.00876429985039453,0.0251171042197645,0.0594731596333111,29.6172903832969,3,1.66105470186823e-06,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","run","total_20_55","Population (20-55)",0.00189637505700797,0.0150003997078928,-0.0275044083704619,0.0312971584844778,0.283263831672941,3,0.963144744254285,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","run","GDP","GDP",-0.00876278584726065,0.0126906388280848,-0.0336364379503068,0.0161108662557855,5.10632024215335,3,0.164175359736397,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
