term,estimate,std.error,statistic,p.value,conf.low,conf.high,city,lag,pct,pct_low,pct_high,n_obs
post1,-0.22998900553703475,0.15056679275133528,-1.5274882418254547,0.12663964884102816,-0.5250944965973583,0.06511648552328883,Abilene,1,-20.545766197837757,-40.85005329611714,6.728334020193638,21916
post2,-0.005716389579981404,0.3099479785141571,-0.01844306134011551,0.9852854002941369,-0.6132032645487238,0.6017704853887609,Abilene,2,-0.570008211314077,-45.83868428405638,82.53476926129923,21916
post3,-0.06210299627444552,0.05925280945397141,-1.048102138054537,0.2945915513467503,-0.17823636878704388,0.05403037623815284,Abilene,3,-6.021391265958864,-16.325538019846775,5.551666429368285,21916
post4,0.8432444462820587,0.09190239816883092,9.175434625035157,4.497564426898988e-20,0.6631190557782903,1.023369836785827,Abilene,4,132.38945097417857,94.08364807271565,178.25557413186405,21916
post5,0.2912624689517675,0.2409156877550686,1.2089809163772052,0.22667017709829526,-0.18092360235886418,0.7634485402623992,Abilene,5,33.8115751701396,-16.550088997593125,114.56628814136765,21916
post6,0.37434740761919,0.04861933852535679,7.6995578091617585,1.3653789124187225e-14,0.27905525515733,0.46963956008105,Abilene,6,45.40422080630475,32.18803825601482,59.94175953607213,21916
post7,-0.016721149172726896,0.04737248610697771,-0.3529717468271939,0.7241096217543462,-0.10956951580052726,0.07612721745507348,Abilene,7,-1.6582126708211353,-10.378013924447737,7.909984576157458,21916
post1,0.6210772865687525,0.098434115675573,6.30957348787232,2.7980548401648906e-10,0.4281499649945799,0.8140046081429251,Amarillo,1,86.09317191316342,53.441617242729755,125.69280261117059,27395
post2,0.30490379587137595,0.15909560707875908,1.9164815513758064,0.05530382924867305,-0.006917864101527449,0.6167254558442794,Amarillo,2,35.649449635768015,-0.6893990762224411,85.28508553290945,27395
post3,0.1815186861931166,0.32069392675909497,0.566018471342843,0.5713812239232621,-0.44702986031543523,0.8100672327016685,Amarillo,3,19.90369419362299,-36.04751884229168,124.80591246841692,27395
post4,0.51686986240531,0.21823062206437607,2.3684570823100985,0.0178624526605106,0.08914570283536088,0.9445940219752591,Amarillo,4,67.67709031792376,9.323993288047605,157.17690848893494,27395
post5,0.3276597034429544,0.17093105475249495,1.916911493452139,0.0552491766709237,-0.00735900771137965,0.6626784145972885,Amarillo,5,38.77166567298509,-0.733199651328309,93.99814566414035,27395
post6,0.2464045540992974,0.04852611362652233,5.077772269086537,3.81886032554332e-7,0.1512951190816153,0.3415139891169795,Amarillo,6,27.941706227584074,16.333993123821287,40.70762769230165,27395
post7,0.35176506975699967,0.06075586153464526,5.7898128817811285,7.04648802010389e-9,0.23268576929939255,0.4708443702146068,Amarillo,7,42.15745136396467,26.198486262841357,60.13457511850018,27395
post1,0.4351757758057384,0.04260700394947967,10.213714541434047,1.721456585470697e-24,0.35166758257560243,0.5186839690358744,Arlington,1,54.52346499467253,42.14359351020911,67.98155051739879,21916
post2,0.5870582685773279,0.05607694577940064,10.468798905110457,1.2015787375275572e-25,0.4771494744866973,0.6969670626679585,Arlington,2,79.86893640045449,61.14743003467271,100.76543743123709,21916
post3,0.28929960651867614,0.13692396595080147,2.1128485762866758,0.034613730452490436,0.020933564634716684,0.5576656484026357,Arlington,3,33.5491790641022,2.1154208631105176,74.65905813192136,21916
