city,cluster,is_outlier,beta_max_abs,outlier_assigned_by,peak_lag,peak_val,early_auc,late_auc,ratio_early_late,monotone,decay_slope,n_sig,beta_lag1,pval_lag1,beta_lag2,pval_lag2,beta_lag3,pval_lag3,beta_lag4,pval_lag4,beta_lag5,pval_lag5,beta_lag6,pval_lag6,beta_lag7,pval_lag7,beta_lag8,pval_lag8,beta_lag9,pval_lag9,beta_lag10,pval_lag10,beta_lag11,pval_lag11,beta_lag12,pval_lag12
Abilene,2,0,0.8475121163884249,,4.0,0.8475121163884249,1.236651935701128,0.652979212894676,1.893858207768689,1.0,0.018285524318217568,2.0,-0.225721348712495,0.1298909661746236,-0.0014487215727106,0.9963331719294836,-0.0578353263413553,0.3294952302954055,0.8475121163884249,5.4347802368873725e-22,0.2955301382691331,0.2145900122354302,0.378615077670131,1.482924143273725e-17,-0.0124534774791537,0.7735066444823104,-0.221203378851238,0.650027182643047,0.1465214011451705,0.5816633810575451,-0.115842862432593,0.7285758378039078,0.4147853876268179,0.053889585512176,0.4411721428856723,0.0730579056266118
Amarillo,4,0,0.8942842224763594,,8.0,0.8903742903712821,2.2697733298209535,3.560974492131386,0.6212431923049486,-3.0,0.02267390672488015,11.0,0.6329667877185694,1.8350374248985487e-10,0.316797454517235,0.0480969486360862,0.1934113850272035,0.5479846763404894,0.5287535024777948,0.0161057632137034,0.3395487443241745,0.0489479396132742,0.2582954557559765,6.48802720988319e-08,0.3636559714138734,1.5806799266606399e-09,0.8942842224763594,2.3941197421528436e-14,0.8022447681371406,2.798146810085641e-28,0.4593000170100136,0.0117386335992805,0.5874673658154088,0.0188794601313032,0.546645371295056,0.001956414928665
Arlington,1,0,0.5879021044006635,,2.0,0.5879021044006635,1.649430215463777,0.3055982430234253,5.225434563169655,-3.0,-0.05141856530954497,9.0,0.4360181826966202,4.427407228572167e-25,0.5879021044006635,2.710089717025004e-26,0.2901427426397119,0.0332085279763019,0.0936946772387892,0.0004841899596410767,-0.0145189074013969,0.7605785588476512,0.2561914158893892,0.0340891072013217,0.2533700374420263,0.0931076514047403,0.2769005348524133,9.753940743636292e-11,0.1777049947400119,0.0010679725506874,-0.0165507306497502,0.8699214745033275,-0.0683054008691516,1.1398217186403222e-08,-0.3175211924921244,7.024658009636366e-12
Atlanta,3,0,2.800239152783925,,1.0,-2.800239152783925,-13.70004248349111,-12.603041664975246,-1.0870424585298364,3.0,0.04016244149980015,12.0,-2.800239152783925,4.9766520241583375e-24,-2.5416586914647032,1.833339015711202e-86,-1.9598711675814475,3.0485800026646947e-109,-2.480142565333684,4.153490011661931e-63,-1.9917897974210688,2.3354181582939263e-26,-1.926341108906283,1.0167921803869899e-31,-2.365707768695021,1.0746602822801823e-28,-2.267267695880543,3.7895977372449057e-62,-2.095417438951126,3.5006663896049852e-37,-1.903235407499037,3.1168527116340983e-139,-2.235369242520743,1.5710069199200492e-94,-1.7360441114287752,5.731102274069457e-32
Austin,2,0,0.2966664815832667,,2.0,0.2966664815832667,0.8804154742649697,0.555319725128613,1.58541800157209,1.0,-0.007901069459691636,9.0,0.222838536364031,4.235615513260406e-09,0.2966664815832667,1.5229567044476873e-141,-0.0102252680146735,0.8728661217716788,0.1051073866067336,0.0007834014332229083,0.1727064364920313,1.5824697207195502e-08,0.0933219012335805,0.0043165728799384,0.1090435071034943,0.0032390452109036,-0.0204145601334803,0.5232708349371369,0.1242336725973812,5.4115167223341245e-11,0.0495707365947019,0.2122568626742471,0.1553978840310018,0.00011618439617193826,0.1374884849355142,0.0054131893559733
Bakersfield,1,0,0.3464936754414474,,1.0,0.3464936754414474,1.564481614468461,1.2466627494981595,1.2549347128271262,-3.0,-0.011186591283284319,11.0,0.3464936754414474,5.4589768261895096e-17,0.301296186982901,4.050140782185365e-06,0.2664647567400148,4.49480950727511e-28,0.243141793740592,2.6124799498399076e-10,0.2902604517324086,0.0018811860641418,0.1168247498310972,0.0001489085502771312,0.2085761164230751,0.0353732930012282,0.1470388317511119,0.0276356798725608,0.2536953883042825,0.00025751391189016447,0.2529328801577487,3.901747275898732e-34,0.2625075995946704,0.000874216584368598,0.121911933267271,0.0769404413048904
Baltimore,1,0,0.3749735069004061,,7.0,0.3749735069004061,2.0247745553965757,1.2583856809718617,1.6090241465626662,-3.0,-0.0215593375624595,11.0,0.3660036146752941,1.1544145669231746e-13,0.3080499721651398,4.987322368661614e-09,0.3339642609308659,3.5898873418966844e-84,0.3539418522218569,1.255971448015874e-24,0.3462133547250256,1.117841457231519e-08,0.3166015006783935,0.00029731292967532884,0.3749735069004061,8.807880505146295e-07,0.2342978267069512,3.5973271515933574e-16,0.1762662791347535,2.26954958351177e-06,0.1475561732522961,0.0277958376531283,0.2375414098416269,1.806377774808241e-18,0.0877504851358279,0.1281668536034803
Boston,2,0,0.8071651303614107,,1.0,0.8071651303614107,2.8504906143321733,2.5610275562948344,1.1941490045349017,1.0,-0.029833132762705175,10.0,0.8071651303614107,1.177339763737429e-21,0.7775333327542073,2.837789915492516e-59,0.5411445546905505,2.7325875718851497e-06,0.2309896263867178,0.2360820770007457,0.2816333592056257,0.1491437431835257,0.4197836976864211,0.00033450427219738107,0.6407743956396319,3.1951619529224395e-10,0.4618951830364805,1.6455983558656533e-14,0.5219131927627313,1.5376365177578461e-18,0.2179175448194536,0.0001321663869968809,0.2566320570002141,5.932087624842509e-07,0.461895183036323,0.0371099366299153
Cape Coral,4,0,0.9685039628644176,,2.0,-0.9685039628644176,-3.264819799383993,-3.33219798256417,-0.9797793638576986,-3.0,0.005184753577637375,10.0,-0.458920047346282,0.0036293568844113,-0.9685039628644176,0.0014990703402848,-0.3183011584346253,0.0003771935130328631,-0.5451673039753727,0.0161704410883452,-0.6571265651609169,0.0083257051129557,-0.3168007616023784,0.1472848351346571,-0.5068443639044364,0.0169974967937111,-0.8845134426177207,0.0034634604111774,-0.3603837672661263,0.0639837047303873,-0.496550892657596,0.0013376081490629,-0.4185893523018328,0.0057280050586098,-0.6653161638164576,0.0036361750960276
Chandler,1,0,0.2008814118035318,,12.0,-0.2008814118035318,-0.15622315174819432,-0.4407279605923186,-0.3544653646954307,-3.0,-0.013475375395164205,2.0,0.0433522922488291,0.5975712470241462,-0.1004949442968521,0.3693757428139402,-0.0313508952114238,0.6599718840585274,-0.0797065208516883,1.565870710690592e-85,0.039271380690863,0.4751360081845723,-0.0272944643279222,0.8225464858263167,0.1402046149440093,0.13593161461288,-0.0020466109734667,0.976101581938708,-0.1261453470192982,0.3221984740806894,-0.0820422473133665,0.3826602563610374,-0.1698169584266647,0.099219188862739,-0.2008814118035318,0.0031309678265229
