activity_label,predictor_mode,heterogeneity_explained_pct,loo_ci_low,loo_ci_high,n_cities,n_predictors,n_basis,i2_null,i2_model,q_null,q_model,q_df_null,q_df_model,q_reduction_pct,psi_trace_null,psi_trace_model,null_fit_flag,model_fit_flag
All activity,Mean predictors,-1.2738398351800129,-1.8632512917538924,-0.6419141699260453,63,8,3,67.11364205410037,67.96856236142563,565.5840646932784,505.75313486681875,186,162,10.57860954037072,2.5292846240792533,NA,REML,REML_REG
All activity,Gini predictors,-0.1612894443333568,-1.0061954089893832,0.9444205280977391,63,8,3,67.11364205410037,67.22188927444131,565.5840646932784,494.2322678581981,186,162,12.615595326890094,2.5292846240792533,NA,REML,REML_REG
Cycling,Mean predictors,-3.4941896898645686,-4.233215370866401,-2.8001132751139703,63,8,3,59.1404812535248,61.20696185202175,455.2182837837401,417.60070294582704,186,162,8.263635749697606,1.7479382404152861,NA,REML,REML_REG
Cycling,Gini predictors,-0.5334685554605256,-1.7674217038404605,0.4522674123718409,63,8,3,59.1404812535248,59.45597712456038,455.2182837837401,399.5656782695208,186,162,12.22547676504534,1.7479382404152861,NA,REML,REML_REG
Running,Mean predictors,1.280397851865256,0.06816001113552628,3.001200997852985,63,8,3,59.97111526940663,59.20324639775751,464.6644573083584,397.09041944723583,186,162,14.542545012492624,2.999999988674425e-8,NA,REML_REG,REML_REG
Running,Gini predictors,-1.931582321305969,-2.764844913453726,-0.6247134438337916,63,8,3,59.97111526940663,61.129506729840514,464.6644573083584,416.7685726910131,186,162,10.307628195793095,2.999999988674425e-8,NA,REML_REG,REML_REG
Walking,Mean predictors,-2.029109690500386,-4.384804451102427,0.22691315409774043,63,8,3,40.403438954199665,41.22326904931474,312.09854517789677,275.61927548492093,186,162,11.688381844965857,2.999999984626314e-8,NA,REML_REG,REML_REG
Walking,Gini predictors,0.45453244638953283,-2.5398157051260926,3.07742804776729,63,8,3,40.403438954199665,40.21979221469564,312.09854517789677,270.992701433574,186,162,13.170789924987435,2.999999984626314e-8,NA,REML_REG,REML_REG
