lag,mu,se,lo,hi,p,tau2,k,Q,pct,pct_lo,pct_hi,n_cities,n_sig05_cities,plot_ymin_pct,plot_ymax_pct,axis_scaled_from
1,-0.541360340740088,0.5720767463895492,-1.6626307636636044,0.5799100821834284,0.34399192503887055,20.577331575805026,63.0,82311053832575.77,-41.80439448636763,-81.03605732268792,78.58778412941024,63,46,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
2,-0.6882176601098478,0.6622338683039757,-1.9861960419856401,0.6097607217659446,0.2986947220672391,27.580086649487445,63.0,110322660912366.14,-49.75291547373205,-86.27836006420935,83.99910762885321,63,47,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
3,-0.6972419382428601,0.5868797101212125,-1.8475261700804366,0.4530422935947165,0.23481404799516525,21.651725130185472,63.0,86608715802706.9,-50.20431927968987,-84.23733741501708,57.309071676849065,63,44,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
4,-0.8325603431281184,0.6808939625849894,-2.1671125097946975,0.5019918235384607,0.22142566137271613,29.16884932677012,63.0,116677848217113.25,-56.50657214618546,-88.54922198965737,65.20085052442364,63,50,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
5,-0.36292185102056745,0.5828707825334644,-1.5053485847861576,0.7795048827450228,0.5335175254432833,21.33814730452532,63.0,85352589675654.14,-30.435920500689985,-77.80600845317007,118.03924482784267,63,43,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
6,-0.31386255163305865,0.5900805115163259,-1.4704203542050573,0.84269525093894,0.5947967508909544,21.887140831750397,63.0,87548563895276.08,-26.93805562923165,-77.0171144647023,132.26185880963195,63,43,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
7,-0.5203679122008849,0.5863473165563087,-1.66960865265125,0.6288728282494802,0.37482383736417324,21.60633604351526,63.0,86425345417814.77,-40.56981431610461,-81.16792499540473,87.54953819801814,63,39,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
8,-0.6774900282563914,0.6782921491083673,-2.0069426405087913,0.6519625839960086,0.317883135823547,28.93526419850727,63.0,115743482160780.77,-49.21098161298114,-86.5601046920273,91.9303930281909,63,41,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
9,-0.6237513651597595,0.6688503529342048,-1.934698056910801,0.687195326591282,0.3510407998031284,28.144388047936797,63.0,112579914415960.58,-46.40698079789082,-85.55321166823579,98.81316464521743,63,42,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
10,-0.6531989990086197,0.659259670595342,-1.94534795337549,0.6389499553582506,0.32177990274489443,27.346245288772426,63.0,109387276402255.58,-47.962157880497536,-85.7062520894081,89.4490534877586,63,46,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
11,-0.8603415347672978,0.6610016340032427,-2.1559047374136533,0.4352216678790579,0.19306257318076958,27.482146095971313,63.0,109930891410786.45,-57.69824175682927,-88.4201623918067,54.53055655957972,63,45,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
12,-0.826393387025422,0.6769224277357255,-2.153161345387444,0.5003745713366,0.222158124437567,28.819125466944946,63.0,115276518971641.86,-56.23752132625379,-88.38835074168567,64.93389501054534,63,39,-99.58977602962183,143.3024128495964,pooled random-effects estimate and 95% CI
