,peak_lag,peak_val,early_auc,late_auc,ratio_early_late,monotone,decay_slope,n_sig,cluster,is_outlier,total_all_mean_avg,GDP_mean_avg,n_grids
Raleigh,-0.714285714,-0.650583407,-0.368985702,0.086155164,-1.180644465,2,0.872677476,-0.5,3,0,1094.390892,4205085018,13
Richmond,0.571428571,-0.010703132,0.022506688,0.280161379,0,0,0.296933078,-0.166666667,4,0,1151.129069,5743678306,7
Riverside,-0.428571429,-0.648923715,-0.368230047,-0.120970226,-1.180644465,2,0.866812011,-0.5,4,0,1390.134779,4620968511,6
Sacramento,-0.285714286,0.627548962,0.324084746,0.997869975,0.04508601,1,0.486657948,-0.5,2,0,1511.944009,6222350682,13
San Antonio,-0.714285714,0,0.105883238,-0.054274042,2.130271374,0,-0.453121516,-1.166666667,2,0,1337.010991,5364063746,23
San Bernardino,-0.428571429,-1.929341976,-0.184338794,0.258950868,-0.328978777,-1,0.521877201,-1,2,0,1323.146448,3217608108,6
San Jose,-0.714285714,0.537694579,0.891982855,0.781863602,0.450834835,1,-0.37819218,0,2,0,1829.966586,11554622256,17
Scottsdale,0.714285714,-0.598278775,-0.334687921,-0.39792852,-0.557900399,0,0.005548461,0,4,0,934.3938488,2586224945,6
St. Louis,0.428571429,0.663871089,0.45130736,1.398250928,-0.021578182,1,1.014229267,0.166666667,3,0,1172.035751,6301810214,7
St. Petersburg,-0.714285714,-0.774369658,-0.494694652,-0.20547766,-1.180644465,1,0.696444127,-0.5,3,0,1267.022128,4685108514,8
Tallahassee,-0.142857143,-0.602073213,-0.340855307,-0.385926371,-0.582904286,0,-0.005189575,-1,4,0,1370.520136,3537660071,5
Tampa,-0.714285714,-0.646121847,-0.521912075,-0.009781112,-1.180644465,2,1.006826306,-1,3,0,1308.433416,3521371133,13
Tucson,0.857142857,-0.706297149,-0.71873732,-0.984527434,-0.521025945,1,-0.217242991,0.5,1,0,1384.700827,3047629964,14
Virginia Beach,0.428571429,0.17842944,0.328543523,0.633704686,0.1530556,0,0.032897628,0,1,0,1279.811142,3203365348,6
Visalia,-0.428571429,0.328237302,0.651915595,0.475909123,0.559891462,0,-0.521755476,-0.166666667,1,0,1417.289039,1449282978,5
Washington,-0.571428571,0.024405698,0.036607654,-0.006824112,0.93242367,-1,-0.341171134,-0.833333333,2,0,2016.107675,23942361897,7
