group_label,indicator,model_type,lag,rr,rr_low,rr_high,log_rr,log_rr_se,n_cities,lag_profile_percentile,lag_profile_value_target,lag_profile_value_mean,lag_profile_value_median,lag_profile_source,meta_method,reliability,profile_warning
National,cehwi,composite_all,0,0.9917457227662307,0.9820081371050731,1.001579866257131,-0.00828853241148652,0.005034261220818165,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,1,0.9920861078860461,0.9853854687517689,0.9988323114884748,-0.007945373159884282,0.0034576542698728976,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,2,0.9924658143536806,0.9871983770445341,0.9977613573571343,-0.007562710990139374,0.0027150810412623896,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,3,0.9929241098492902,0.9868936637458586,0.9989914051914416,-0.007101042984109197,0.003108132245686581,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,4,0.9935003484866924,0.9858614863530096,1.001198399680406,-0.006520866223651145,0.003938034896093581,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,5,0.9942340097089536,0.9853283024968391,1.0032202095048566,-0.005782677790622485,0.004590670165795626,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,6,0.9951631148648513,0.9858065936323277,1.0046084410314666,-0.004848620721803194,0.004819630306544334,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,7,0.9962882107663025,0.987218068602731,1.005441685560712,-0.0037186950171933324,0.004666136786595033,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,8,0.9975721942590712,0.988974826662022,1.006244300593251,-0.002430757640012864,0.00441614457545994,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,9,0.9989762129195541,0.9902515192263831,1.0077777762549944,-0.0010243115084045214,0.004475508565407939,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,10,1.0004612468010963,0.9904082712057709,1.0106162634649976,0.0004611404594891027,0.005152635799570258,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
National,cehwi,composite_all,11,1.0019880689392515,0.9894946703907906,1.0146392096281822,0.0019860953455253737,0.006401528297692895,63,0.25,2.619999999999997,18.191050396825407,15.686924999999992,scaled_from_p90_by_overall_logRR_sensitivity,reml,STAGE2_POOLED,Percentile-scaled p90 lag-profile sensitivity.
