group_label,indicator,model_type,lag,rr,rr_low,rr_high,log_rr,log_rr_se,n_cities,lag_profile_percentile,lag_profile_value_target,lag_profile_value_mean,lag_profile_value_median,lag_profile_source,meta_method,reliability,profile_warning
National,cehwi,composite_all,0,0.9871724608604844,0.9721161743888876,1.002461941438184,-0.0129105224311369,0.0078415501308173,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,1,0.9877002628148508,0.9773288297217348,0.9981817577634384,-0.0123760049803608,0.0053857692525213,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,2,0.9882891557067036,0.980131030378912,0.996515185229752,-0.0117799563337762,0.0042291099250568,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,3,0.989000100941153,0.9796598362048882,0.9984294175524864,-0.0110608452955747,0.0048413409135333,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,4,0.989894268878115,0.978064328967746,1.0018672949579088,-0.0101571406699479,0.0061340277550411,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,5,0.9910331330444142,0.9772405149298952,1.005020417990227,-0.0090073112610872,0.0071505964152737,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,6,0.9924760579609548,0.9779795036080564,1.0071874942079329,-0.0075523896730095,0.0075072331377019,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,7,0.994224367559854,0.9801614832596278,1.0084890193424996,-0.0057923759057149,0.0072681459948932,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,8,0.9962209214036984,0.9828796621591585,1.0097432701600908,-0.0037862373551864,0.0068787489473536,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,9,0.9984057669245568,0.9848567404906396,1.0121411921612236,-0.0015955052172326,0.0069712164778857,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,10,1.0007185473438829,0.9850995836762656,1.0165851530063734,0.0007182893123381159,0.0080259347212832,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
National,cehwi,composite_all,11,1.003098405203087,0.9836845173267124,1.0228954434044262,0.0030936150377173,0.0099712555345005,63,0.9,25.71,18.191050396825407,15.686924999999992,city_p90_crossreduce_fallback,reml,STAGE2_POOLED,True pooled p90 lag profile from existing model output.
