variable_only,coefficient,se,z_value,p_value,ci_low,ci_high,significant,n_coefs,direction,star_label,mode,source_root,partition,indicator,model_type,base_model,activity_type,source_summary,sig,significance_label,effect_text,p_text,direction_significance
Walkability Index,0.0720600986206112,0.1164627525774385,0.6187394426616951,0.5360880216237904,-0.1562068964311683,0.3003270936723907,ns,3,Positive,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"0.07 [-0.16, 0.30]",0.536,Positive; ns
Walkability Index,-0.0090874547031451,0.1281576669815894,-0.0709083967988477,0.9434706605208524,-0.2602764819870605,0.2421015725807702,ns,3,Negative,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"-9.09e-03 [-0.26, 0.24]",0.943,Negative; ns
Walkability Index,0.1688436452082494,0.2340129936475511,0.7215139748288772,0.4705933456659959,-0.2898218223409508,0.6275091127574497,ns,3,Positive,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"0.17 [-0.29, 0.63]",0.471,Positive; ns
Walkability Index,0.3936690295466945,0.3592623180097882,1.0957704435230218,0.2731792461167516,-0.3104851137524904,1.0978231728458794,ns,3,Positive,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"0.39 [-0.31, 1.10]",0.273,Positive; ns
Street Intersection Density,0.0846350457381112,0.1515021988554775,0.5586390585581341,0.5764080779321301,-0.2123092640186248,0.3815793554948473,ns,3,Positive,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"0.08 [-0.21, 0.38]",0.576,Positive; ns
Street Intersection Density,0.0956272608727964,0.1612558004969022,0.5930159447171856,0.5531704814985642,-0.2204341081011319,0.4116886298467249,ns,3,Positive,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"0.10 [-0.22, 0.41]",0.553,Positive; ns
Street Intersection Density,-0.159914447652029,0.3661121078316725,-0.4367909288745864,0.662262978188168,-0.8774941790021071,0.5576652836980491,ns,3,Negative,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"-0.16 [-0.88, 0.56]",0.662,Negative; ns
Street Intersection Density,0.0124425523248487,0.5188124162164508,0.0239827574204732,0.9808663623371618,-1.0044297834593947,1.0293148881090923,ns,3,Positive,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"0.01 [-1.00, 1.03]",0.981,Positive; ns
GDP,-0.0473000698207726,0.1268444925497757,-0.3728980964799186,0.7092242887969634,-0.2959152752183331,0.2013151355767879,ns,3,Negative,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"-0.05 [-0.30, 0.20]",0.709,Negative; ns
GDP,0.0247879091494508,0.1357499536720157,0.1825997613917478,0.8551120715769078,-0.2412820000476999,0.2908578183466017,ns,3,Positive,,GINI_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,NATIONAL,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False,ns,"0.02 [-0.24, 0.29]",0.855,Positive; ns
