variable_only,coefficient,se,z_value,p_value,ci_low,ci_high,significant,n_coefs,direction,star_label,mode,source_root,partition,indicator,model_type,base_model,activity_type,source_summary,sig
Building Density,-0.008074855124254,0.0353868068729745,-0.2281882949552289,0.8194998606917482,-0.0774329965952841,0.061283286346776,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0205789716236079,0.0381147926448165,0.5399208600025418,0.5892516113890779,-0.0541260219602325,0.0952839652074483,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,0.0989027925840916,0.0463276137337423,2.134856182157652,0.0327727594629954,0.0081006696659565,0.1897049155022266,sig,3,Positive,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Population (20-55),0.024015222667156,0.0345236981591072,0.6956155900934637,0.4866696001640607,-0.0436512257246942,0.0916816710590062,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-0.0681138885593969,0.0461204594214823,-1.4768692552891265,0.1397106876885089,-0.1585099890255022,0.0222822119067083,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0205115925444538,0.0351951422493903,-0.5827961256445604,0.5600305534339883,-0.0894940713532589,0.0484708862643512,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,0.0160678551723603,0.0381650606357283,0.4210095544121414,0.6737481050699853,-0.0587356636736671,0.0908713740183878,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,0.0350490479104028,0.0483499061442642,0.7249041560871923,0.4685108310130711,-0.059716768132355,0.1298148639531607,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.0051085726164551,0.0353489369298628,0.1445184229045217,0.8850911097842323,-0.064175343766076,0.0743924889989864,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0536854554809081,0.0379415768085657,1.414950563382699,0.1570829913059046,-0.0206800350638808,0.128050946025697,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,0.093406610373254,0.0458241500770141,2.038370820108405,0.0415128622109473,0.0035912762223062,0.1832219445242018,sig,3,Positive,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Population (20-55),0.0276456106201286,0.0344605808849285,0.8022386712645204,0.4224149107120986,-0.0398971279143313,0.0951883491545886,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-0.0608874854501208,0.045829837398486,-1.3285555635013508,0.1839946406805446,-0.1507139667511534,0.0289389958509117,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0221851432267537,0.0339398928633522,-0.6536597895601765,0.5133310147531844,-0.0887073332389242,0.0443370467854166,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,0.0037364238037866,0.0380090671532647,0.0983034860792605,0.9216913101008456,-0.0707613478166123,0.0782341954241855,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,0.0152360962771335,0.0489892880458007,0.3110087303756913,0.7557939846634245,-0.0807829082926359,0.1112551008469029,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,-0.004842635802198,0.0648500704564902,-0.0746743337071176,0.9404738293763404,-0.1319487738969189,0.1222635022925228,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,-0.0953333938644416,0.0690059505333838,-1.3815242472215632,0.1671178277570474,-0.230585056909874,0.0399182691809908,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,0.0503701863299002,0.0933813595379231,0.539403009113873,0.5896088051844732,-0.1326572783644291,0.2333976510242295,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),-0.0164695088919963,0.0628699795907362,-0.2619614162308888,0.793351189043634,-0.1396946688898393,0.1067556511058466,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-0.0176277685988847,0.0836434968285789,-0.2107488240838554,0.8330832740072976,-0.1815690223828995,0.1463134851851301,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,0.018671585880364,0.0635523452343058,0.293798534287371,0.7689118551556575,-0.1058910107788754,0.1432341825396035,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,0.0191601720825661,0.0679572928962156,0.2819443104042941,0.7779862123899648,-0.1140361219940165,0.1523564661591488,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,0.0336922553503255,0.0892934836135989,0.3773204268311734,0.7059354937387388,-0.1413229725323284,0.2087074832329795,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_run,composite,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,-0.0686046731586387,0.1308598564904859,-0.5242606479828031,0.6000972634304436,-0.3250899918799911,0.1878806455627136,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.1033657054759694,0.1406524108040212,0.734901768729685,0.4623993211082594,-0.1723130196999121,0.379044430651851,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,0.4477089352182328,0.1608724028777233,2.783006452377849,0.0053857735037051,0.1323990255778951,0.7630188448585706,sig,3,Positive,**,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Population (20-55),0.0146179498946524,0.1296165364708706,0.1127784331587782,0.910206217086902,-0.2394304615882541,0.2686663613775589,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-0.0532776634770933,0.1701829048109595,-0.3130611945792943,0.7542341704786859,-0.3868361569065739,0.2802808299523872,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0678759973904979,0.129818305501477,-0.5228538234904452,0.6010759807026389,-0.3223198761733928,0.186567881392397,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,-0.0334160811030692,0.1435469715055997,-0.2327884785905476,0.8159256599312255,-0.3147681452540447,0.2479359830479062,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,0.1217495184186641,0.1766536991551751,0.6891988053514667,0.4906981685102706,-0.2244917319254791,0.4679907687628073,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_walk,composite,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.1830185820297152,0.0557999937225771,3.2799032727429185,0.0010384268262117,0.0736505943334639,0.2923865697259665,sig,3,Positive,**,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
GDP,0.2013475439345069,0.0612164105219054,3.289110586816546,0.001005045261591,0.0813633793115723,0.3213317085574416,sig,3,Positive,**,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
NDVI,0.1958188144497105,0.0484073415580269,4.0452296727548696,5.22718522424828e-05,0.1009404249959777,0.2906972039034434,sig,3,Positive,***,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Population (20-55),-0.0012410035465218,0.0553037303834837,-0.0224397800639582,0.982097148429871,-0.1096363150981499,0.1071543080051063,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-0.2390818413296848,0.0728562134448908,-3.2815573308723835,0.0010323553539465,-0.3818800196816709,-0.0962836629776986,sig,3,Negative,**,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Unemployment,0.1159294060106543,0.0511241381368433,2.2676060709394754,0.0233532273345725,0.0157260952624413,0.2161327167588674,sig,3,Positive,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Urbanization Rate,0.0031318096190665,0.0580623466497178,0.053938736544018,0.9569839742727868,-0.1106703898143803,0.1169340090525135,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,-0.0868404633792814,0.072039386923774,-1.205458112395774,0.2280264991519864,-0.2280376617498784,0.0543567349913156,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_all,day,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.1220753052929301,0.0943328846300549,1.2940906638408494,0.1956341060151495,-0.0628171485819776,0.3069677591678378,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0499195492712274,0.1045933356193064,0.4772727533322208,0.6331679103024908,-0.1550833885426131,0.2549224870850679,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,-0.0409515069799183,0.0846993568459006,-0.4834925376638246,0.6287460570453753,-0.2069622463978835,0.1250592324380469,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),0.1079270407742896,0.0966341506383001,1.1168623106986115,0.2640532016129339,-0.0814758944767786,0.2973299760253579,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-0.2269077900276327,0.1232951303210671,-1.8403629521843443,0.0657149687827496,-0.4685662454569244,0.0147506654016589,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0250336746219633,0.088090056888899,-0.2841827500864979,0.7762703341772518,-0.1976901861242055,0.1476228368802787,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,0.11030768681392,0.0990071659011307,1.1141384142242197,0.2652198109933685,-0.0837463583522962,0.3043617319801363,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,-0.0481414790190829,0.1199352278906446,-0.4013956521846754,0.6881288499410741,-0.2832145256847463,0.1869315676465804,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_ride,day,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,-0.0363205580942494,0.0619008419874273,-0.5867538619527426,0.5573690276970573,-0.1576462083896069,0.085005092201108,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.2007171053208422,0.0678820986483577,2.956848849953728,0.0031080043290898,0.0676681919700609,0.3337660186716234,sig,3,Positive,**,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
NDVI,-0.0579762409344712,0.0637306347281976,-0.9097075712760734,0.3629767502182979,-0.1828882850017386,0.0669358031327961,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),-0.0448432885888518,0.0554968469378756,-0.8080330877004661,0.4190715348507752,-0.153617108587088,0.0639305314093844,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,0.1648043474192088,0.0769961523348302,2.1404231565043714,0.0323205847859722,0.0138918888429415,0.3157168059954762,sig,3,Positive,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Unemployment,-0.1681055752781477,0.0540479293830204,-3.1103055602155862,0.0018689389748309,-0.2740395168688678,-0.0621716336874277,sig,3,Negative,**,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Urbanization Rate,-0.0141230040884988,0.060270266523739,-0.2343278850929945,0.8147304393012083,-0.1322527264750275,0.1040067182980297,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,-0.1586512341226631,0.0739236453827562,-2.14615003496122,0.0318610104374116,-0.3035415790728654,-0.0137608891724608,sig,3,Negative,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_run,day,run,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Building Density,-0.0529645703478216,0.1188985175762623,-0.4454603087363962,0.6559871373088979,-0.2860056647972959,0.1800765241016525,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_walk,day,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,-0.0597228106358144,0.1284125070905563,-0.4650856212448059,0.641870142503699,-0.3114113245333048,0.1919657032616759,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_walk,day,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,0.2160941112692835,0.1138808409129856,1.897545799072534,0.0577559401634618,-0.0071123369201683,0.4393005594587355,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_walk,day,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Population (20-55),0.0823995294057429,0.1087130451490682,0.7579543861802047,0.4484782900495612,-0.1306780390864308,0.2954770978979166,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,day_walk,day,walk,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
