"cehwi","rr_n63","rr_low_n63","rr_high_n63","log_rr_n63","log_rr_low_n63","log_rr_high_n63","rr_n60","rr_low_n60","rr_high_n60","log_rr_n60","log_rr_low_n60","log_rr_high_n60","delta_log_rr"
0,1,1,1,0,0,0,1,1,1,0,0,0,0
0.352144288577154,0.99537383889492,0.990888905264399,0.999879072106517,-0.00463689490535184,-0.00915285460485355,-0.000120935205850066,0.994872902499001,0.990245948715918,0.999521475861884,-0.00514028616441398,-0.00980193366149863,-0.000478638667329276,-0.000503391259062141
0.704288577154308,0.990779425036022,0.98188210329335,0.999757369833059,-0.0092633475938306,-0.018284035581259,-0.000242659606402135,0.989783431496683,0.980609737117809,0.999042946631126,-0.0102691158480556,-0.0195807200592466,-0.000957511636864467,-0.00100576825422496
1.05643286573146,0.98622681449514,0.972999334348196,0.999634116174186,-0.0138689158485634,-0.0273718809194944,-0.00036595077763237,0.984742559809522,0.971112241387125,0.998564190391707,-0.0153750325701521,-0.0293132237696676,-0.00143684137063679,-0.00150611672158878
1.40857715430862,0.981725876805417,0.964259574898725,0.999508557942595,-0.0184431574526771,-0.0363947520507229,-0.000491562854631329,0.979761034058035,0.961773470921044,0.998085009497289,-0.0204465798499316,-0.0389763332585947,-0.00191682644126847,-0.00200342239725449
1.76072144288577,0.977286299765206,0.955681054991388,0.999379977996294,-0.0229756301892988,-0.0453310460817611,-0.000620214296836441,0.974849380743354,0.95261259084584,0.997605242958091,-0.0254723012066212,-0.0485469733545839,-0.00239762905865859,-0.00249667101732238
2.11286573146293,0.972917595210491,0.94728127910935,0.999247708093782,-0.0274558918415554,-0.0541592086633389,-0.000752575019771959,0.970017913470908,0.943647948435882,0.997124779441397,-0.0304407401594488,-0.0580021183734919,-0.00287936194540558,-0.00298484831789337
2.46501002004008,0.968629105724767,0.939077050029378,0.999111142613707,-0.031873500192574,-0.0628577477308869,-0.000889252654261028,0.96527674128011,0.934897102884488,0.996643571128355,-0.0353404402276417,-0.067318806140361,-0.0033620743149225,-0.00346694003506767
2.81715430861723,0.964430012257095,0.931084495177633,0.998969753400062,-0.0362180130254815,-0.0714052483822111,-0.0010307776687519,0.960635778041308,0.926376857874373,0.996161648694999,-0.0401599449304276,-0.0764741531809849,-0.00384573667987044,-0.00394193190494614
3.16929859719439,0.96032934262106,0.92331909497731,0.998823106026699,-0.0404789881234049,-0.0797803891899525,-0.00117758705685725,0.956104752884063,0.918103296390764,0.995679137719183,-0.0448877977870341,-0.085445371390432,-0.00433022418363621,-0.00440880966362921
