"cluster","lag","n_cities","mean_standardized_response","ci_low","ci_high","series","cluster_label"
3,4,11,-0.492064668882456,-1.02158754804837,0.0374582102834577,"Exclusion","C3"
3,5,11,0.0952851101178183,-0.454455916370288,0.645026136605925,"Exclusion","C3"
3,6,11,0.242367753800916,-0.272459410254249,0.757194917856081,"Exclusion","C3"
3,7,11,0.605649746256948,0.284492892733642,0.926806599780253,"Exclusion","C3"
3,8,11,0.193155823990084,-0.441507347426115,0.827818995406284,"Exclusion","C3"
3,9,11,0.327516132777363,-0.0173568135113741,0.672389079066101,"Exclusion","C3"
3,10,11,0.625449552188953,0.120888571827972,1.13001053254993,"Exclusion","C3"
3,11,11,0.426454007022862,0.0984896669324714,0.754418347113254,"Exclusion","C3"
3,12,11,0.7447547873358,0.33060076718245,1.15890880748915,"Exclusion","C3"
4,1,17,-0.0958728800077681,-0.362958578531105,0.171212818515569,"Exclusion","C4"
4,2,17,-0.436865209573292,-0.817413199449866,-0.0563172196967184,"Exclusion","C4"
4,3,17,0.0344491261598392,-0.435174404258585,0.504072656578264,"Exclusion","C4"
4,4,17,0.302996626465233,0.0468171035698633,0.559176149360603,"Exclusion","C4"
4,5,17,-0.38848170527256,-0.876038565045117,0.0990751544999963,"Exclusion","C4"
4,6,17,-0.225485942551088,-0.736541732756903,0.285569847654726,"Exclusion","C4"
4,7,17,-0.125841925299695,-0.467641533268062,0.215957682668673,"Exclusion","C4"
4,8,17,-0.429403645805902,-0.917965333885857,0.0591580422740531,"Exclusion","C4"
4,9,17,-0.0898523272740597,-0.782165967713412,0.602461313165293,"Exclusion","C4"
4,10,17,0.199877261134761,-0.2251738678969,0.624928390166421,"Exclusion","C4"
4,11,17,0.368290345286002,-0.107496112205277,0.844076802777282,"Exclusion","C4"
4,12,17,0.886190276738529,0.397728354099394,1.37465219937766,"Exclusion","C4"
