"cehwi","rr_n20","rr_low_n20","rr_high_n20","log_rr_n20","log_rr_low_n20","log_rr_high_n20","rr_n17","rr_low_n17","rr_high_n17","log_rr_n17","log_rr_low_n17","log_rr_high_n17","delta_log_rr"
0,1,1,1,0,0,0,1,1,1,0,0,0,0
0.106282565130261,0.99876125111003,0.991489815586653,1.00608601423571,-0.00123951677358491,-0.00854660279803316,0.00606756925086329,0.996653273393325,0.987978598306479,1.00540411408537,-0.00335233942270471,-0.0120942431020046,0.00538956425659506,-0.0021128226491198
0.212565130260521,0.997524340558485,0.983056009260044,1.01220561253232,-0.00247872895344057,-0.0170891825740748,0.0121317246671936,0.993319158045072,0.976107526629718,1.01083428087699,-0.00670325867704404,-0.0241825279102237,0.0107760105561357,-0.00422452972360348
0.318847695390782,0.99628956877915,0.974701784434599,1.01835548134748,-0.00371733194583746,-0.0256237168880081,0.018189052996333,0.989999008276757,0.964390583486311,1.01628743910571,-0.0100513375946524,-0.036258896839017,0.0161562216497122,-0.00633400564881497
0.425130260521042,0.995057234709239,0.966430217225958,1.02453222457105,-0.00495502115704642,-0.0341461844655406,0.0242361421514477,0.986694159850348,0.952831316401318,1.02176046098041,-0.0133951560071645,-0.0483173937216103,0.0215270817072813,-0.00844013485011805
0.531412825651303,0.993827635796335,0.958244259079311,1.0307323631884,-0.00619149199333807,-0.0426525657863163,0.0302695817996403,0.983405930173679,0.941433030058882,1.02725015229206,-0.0167332937462147,-0.0603520645259857,0.0268854770335562,-0.0105418017528766
0.637695390781563,0.992601068006226,0.950146739505504,1.03695233508865,-0.00742643986098288,-0.0511388436783026,0.0362859639563367,0.980135618523604,0.930198794567232,1.0327532526481,-0.0200643306434378,-0.072356958078562,0.0322282967916866,-0.0126378907824549
0.743977955911824,0.991377825831622,0.942140368914294,1.04318849502567,-0.00865956016625175,-0.0596010039205986,0.0422818835880951,0.976884506286426,0.919131453812721,1.03826643584425,-0.0233868465304681,-0.0843261267983355,0.0375524337373992,-0.0147272863642164
0.850260521042084,0.990158202301747,0.934227741534387,1.04943711473948,-0.00989054831541535,-0.0680350358568655,0.0482539392260348,0.973653857215205,0.90823363387901,1.0437863103805,-0.0266994212389405,-0.096253627444212,0.0428547849663312,-0.0168088729235251
0.956543086172345,0.988942488992806,0.926411338410322,1.05569438324611,-0.0111190997147441,-0.0764369330216358,0.0541987335921476,0.970444917703493,0.897507751508843,1.04930942012846,-0.0300006346004892,-0.108133521878345,0.0481322526773664,-0.018881534885745
1.06282565130261,0.987730976039308,0.918693530466524,1.0619564073039,-0.012344909770509,-0.0848026937818417,0.0601128742408238,0.9672589170751,0.88695602258728,1.05483224515704,-0.0332890664467489,-0.119959877848381,0.0533817449548832,-0.0209441566762399
1.16910821643287,0.986523952146249,0.91107658162923,1.06821921206435,-0.0135676738889803,-0.0931283219959881,0.0659929742180272,0.964097067889489,0.876580470626535,1.06035120272388,-0.0365632966093542,-0.131726769791646,0.0586001765729378,-0.0229956227203738
1.27539078156313,0.985321704602129,0.903562651997272,1.0744787419157,-0.0147870874764291,-0.101409827693503,0.0718356527406449,0.960960566262406,0.8663829352339,1.0658626484397,-0.0398219049199396,-0.143428279664421,0.0637844698245418,-0.0250348174435105
1.38167334669339,0.984124519292826,0.896153801053027,1.08073086152767,-0.0160028459391258,-0.109643227776923,0.0776375358986714,0.957850592201374,0.856365080545462,1.07136287761306,-0.0430634712101396,-0.155058497799623,0.0689315553793433,-0.0270606252710139
1.48795591182365,0.982932680716287,0.888851990905115,1.08697135710555,-0.0172146446833411,-0.117824546749703,0.0833952573830206,0.954768309955679,0.846528403609555,1.07684812678308,-0.0462865753115889,-0.166611523796382,0.0740383731732042,-0.0290719306282478
1.59423847695391,0.981746471998053,0.881659089554713,1.09319593786234,-0.0184221791153457,-0.125949817472606,0.0891054592419151,0.951714868380506,0.836874242705036,1.08231457544783,-0.0494897970559221,-0.178081467445207,0.0791018733333624,-0.0310676179405764
1.70052104208417,0.980566174907596,0.874576874177602,1.09940023771731,-0.0196251446414102,-0.134015081951802,0.0947647926689816,0.948691401314873,0.827403785580594,1.08775834799599,-0.0526717162747734,-0.189462449692639,0.0841190171430917,-0.0330465716333632
1.80680360721443,0.97939206987547,0.867607034414297,1.1055798172297,-0.0208232366678054,-0.142016392161991,0.10036991882638,0.945699027973056,0.818118077602361,1.09317551585001,-0.0558309127997777,-0.200748603649585,0.0890867780500294,-0.0350076761319723
1.91308617234469,0.978224436011268,0.860751175660829,1.11173016577631,-0.0220161506008018,-0.149949810908115,0.105917509706512,0.94273885334918,0.8090180297981,1.09856209982851,-0.0589659664625695,-0.211934075647759,0.0940021427226196,-0.0369498158617677
2.01936873747495,0.977063551122374,0.854010822352934,1.11784670398162,-0.0232035818466702,-0.157811412729443,0.111404249036103,0.939811968634688,0.800104426787166,1.10391407273636,-0.0620754570947832,-0.223013026349006,0.0988621121594393,-0.0388718752481131
2.12565130260521,0.975909691733509,0.847387421236562,1.12392478640949,-0.0243852258116811,-0.165597284850096,0.116826833226734,0.936919451648406,0.791377934586347,1.10922736219071,-0.0651579645280535,-0.233979631912626,0.103663702856519,-0.0407727387163724
2.23193386773547,0.97476313310706,0.840882344617748,1.12995970452516,-0.0255607779021053,-0.173303528180387,0.122181972376176,0.934062367278943,0.782839108282475,1.1144978536917,-0.068212068594015,-0.244828085226194,0.108403948038164,-0.0426512906919097
2.33821643286573,0.973624149264188,0.834496893585003,1.13594668993679,-0.0267299335242135,-0.180926258373691,0.127466391325264,0.931241767939171,0.774488399563454,1.11972139394636,-0.0712363491243021,-0.255552597205811,0.113079898957207,-0.0445064156000886
2.44449899799599,0.972493013006714,0.828232301197419,1.14188091792552,-0.0278923880842762,-0.188461606943919,0.132676830775367,0.928458694032563,0.766326164100017,1.12489379445505,-0.0742293859505494,-0.266147398172213,0.117688626271115,-0.0463369978662731
2.55078156312625,0.971369995939769,0.822089735631736,1.14775751127333,-0.0290478369885642,-0.195905722449086,0.137810048471958,0.925714174431159,0.758352668771114,1.13001083536953,-0.0771897589043915,-0.276606739309657,0.122227221500874,-0.0481419219158273
2.65706412825651,0.970255368495205,0.816070303281556,1.1535715443979,-0.0301959756433481,-0.203254771746944,0.142862820460247,0.923009226964981,0.750568098726343,1.13506826963227,-0.080116047817463,-0.28692489421513,0.126692798580204,-0.0499200721741148
2.76334669338677,0.969149399955765,0.81017505180189,1.15931804780418,-0.0313364994548987,-0.210504941329108,0.147831942419311,0.9203448589227,0.742972564279269,1.14006182740694,-0.0830068325213983,-0.297096160546052,0.131082495503255,-0.0516703330664996
2.86962925851703,0.968052358480006,0.804404973092018,1.16499201286204,-0.0324691038294864,-0.21765243874072,0.152714231081747,0.9177220675634,0.735566107625797,1.14498722081048,-0.0858606928478321,-0.307114861775372,0.135393476079708,-0.0533915890183457
2.9759118236473,0.966964511127967,0.798761006209549,1.17058839691988,-0.033593484173382,-0.224693494093245,0.157506525746481,0.915141840639294,0.728348709382018,1.1498401489573,-0.0886762086283988,-0.316975349063737,0.13962293180694,-0.0550827244550169
