cluster,lag,n_cities,mean_standardized_response,ci_low,ci_high
1,1,18,0.6614137131389604,0.408447108825832,0.9143803174520887
1,2,18,0.6473566472601591,0.2645522200443337,1.0301610744759844
1,3,18,0.7645583858686985,0.5057533456025092,1.0233634261348878
1,4,18,0.30522863590246874,-0.04849422686852756,0.658951498673465
1,5,18,0.1509587331792993,-0.22580962411061034,0.527727090469209
1,6,18,0.1411804161366278,-0.213914515040719,0.4962753473139746
1,7,18,0.0785494146671579,-0.23817762075112212,0.3952764500854379
1,8,18,-0.0761095478319029,-0.4192762881772307,0.26705719251342497
1,9,18,-0.21493617734337603,-0.5659629072348379,0.13609055254808586
1,10,18,-0.34148533301995754,-0.668744194960291,-0.014226471079624048
1,11,18,-0.38090380634640425,-0.8205704968091572,0.05876288411634867
1,12,18,-1.7358110816117316,-2.108863861229507,-1.362758301993956
2,1,14,0.8074469582325078,0.3356494237056894,1.279244492759326
2,2,14,0.49113428654026775,-0.18514435215490427,1.1674129252354397
2,3,14,-0.23501105748741982,-0.7664876302885236,0.29646551531368404
2,4,14,0.2748647747694191,-0.5992700839438121,1.1489996334826504
2,5,14,-0.5129568090652668,-1.0248958299498971,-0.0010177881806364697
2,6,14,-0.19898209252741392,-0.559139270514098,0.1611750854592701
2,7,14,-0.4656093919702425,-0.8112103883378352,-0.12000839560264981
2,8,14,0.05966503698808331,-0.3456210099868172,0.4649510839629838
2,9,14,0.4130833695975289,-0.006405522321526413,0.8325722615165843
2,10,14,0.0806054085537335,-0.4006791929965818,0.5618900101040488
2,11,14,-0.38535310393463357,-0.6574196124308236,-0.1132865954384436
2,12,14,-0.328887379696564,-0.6065531312599293,-0.051221628133198804
3,1,11,-1.8114075252648638,-2.095732146761972,-1.527082903767756
3,2,11,-0.5122816256398431,-0.9333318084023585,-0.09123144287732776
3,3,11,-0.4448790937035829,-0.844252080851427,-0.045506106555738834
3,4,11,-0.4920646688824559,-1.0215875480483696,0.03745821028345775
3,5,11,0.09528511011781832,-0.4544559163702882,0.6450261366059249
3,6,11,0.24236775380091605,-0.27245941025424925,0.7571949178560813
3,7,11,0.6056497462569477,0.2844928927336423,0.926806599780253
3,8,11,0.1931558239900844,-0.44150734742611525,0.827818995406284
3,9,11,0.32751613277736324,-0.017356813511374136,0.6723890790661007
3,10,11,0.6254495521889529,0.1208885718279723,1.1300105325499334
3,11,11,0.42645400702286246,0.09848966693247141,0.7544183471132535
3,12,11,0.7447547873358005,0.3306007671824496,1.1589088074891514
4,1,20,-0.14655572125825306,-0.41059020711651456,0.11747876460000845
4,2,20,-0.4353284645603622,-0.833097991953931,-0.03755893716679354
4,3,20,0.16511067119717276,-0.2567423360480865,0.586963678442432
4,4,20,0.3076492045882774,0.07400226591954959,0.5412961432570051
4,5,20,-0.30926609185110154,-0.734740799618925,0.11620861591672188
4,6,20,-0.12617080019525426,-0.5973311628614479,0.34498956247093937
4,7,20,-0.029355254841899436,-0.33748466555287454,0.27877415586907567
4,8,20,-0.36262654531280086,-0.807037719059078,0.08178462843347623
4,9,20,-0.0555581400764225,-0.6891688870763182,0.5780526069234733
4,10,20,0.050559727514386164,-0.352887863793413,0.4540073188221853
4,11,20,0.1236273817073688,-0.3946952000235577,0.6419499634382952
4,12,20,0.8179140330888879,0.3921075235235873,1.2437205426541884
