"percentile","cehwi","primary_rr","primary_rr_low","primary_rr_high","exclusion_rr","exclusion_rr_low","exclusion_rr_high","delta_log_rr"
"25%",2.53,0.971589580873949,0.823290799173098,1.14660845361297,0.926250813787557,0.759911736303134,1.12901029394815,-0.0477890028549453
"50%",5.14100000000001,0.94723136933574,0.712393023170086,1.25948636783737,0.873391840722012,0.622144485781375,1.22610690723398,-0.0811593220444489
"75%",9.65725,0.926357737089319,0.694379878446977,1.23583466979191,0.874389691776209,0.623472237821714,1.22628943039938,-0.0577344762530594
"90%",15.365,0.906451617966515,0.561080799309011,1.46442213344949,0.964506737095647,0.536060139255993,1.73540513672435,0.0620791193400171
"95%",19.36925,0.855067794186925,0.502784080273573,1.45418621717391,0.945501491241229,0.491949504264073,1.81720766974344,0.100534726452549
"99%",29.955,0.608122234433628,0.287317900022175,1.28715939052461,0.567027064071355,0.224951537801766,1.42935016950966,-0.0699710302807567
