"cehwi","rr","rr_low","rr_high","log_rr","log_rr_low","log_rr_high","specification","n_cities"
0,1,1,1,0,0,0,"Excluding single-grid cities (n=60)",60
0.352144288577154,0.994872902499001,0.990245948715918,0.999521475861884,-0.00514028616441398,-0.00980193366149863,-0.000478638667329276,"Excluding single-grid cities (n=60)",60
0.704288577154308,0.989783431496683,0.980609737117809,0.999042946631126,-0.0102691158480556,-0.0195807200592466,-0.000957511636864467,"Excluding single-grid cities (n=60)",60
1.05643286573146,0.984742559809522,0.971112241387125,0.998564190391707,-0.0153750325701521,-0.0293132237696676,-0.00143684137063679,"Excluding single-grid cities (n=60)",60
1.40857715430862,0.979761034058035,0.961773470921044,0.998085009497289,-0.0204465798499316,-0.0389763332585947,-0.00191682644126847,"Excluding single-grid cities (n=60)",60
1.76072144288577,0.974849380743354,0.95261259084584,0.997605242958091,-0.0254723012066212,-0.0485469733545839,-0.00239762905865859,"Excluding single-grid cities (n=60)",60
2.11286573146293,0.970017913470908,0.943647948435882,0.997124779441397,-0.0304407401594488,-0.0580021183734919,-0.00287936194540558,"Excluding single-grid cities (n=60)",60
2.46501002004008,0.96527674128011,0.934897102884488,0.996643571128355,-0.0353404402276417,-0.067318806140361,-0.0033620743149225,"Excluding single-grid cities (n=60)",60
2.81715430861723,0.960635778041308,0.926376857874373,0.996161648694999,-0.0401599449304276,-0.0764741531809849,-0.00384573667987044,"Excluding single-grid cities (n=60)",60
3.16929859719439,0.956104752884063,0.918103296390764,0.995679137719183,-0.0448877977870341,-0.085445371390432,-0.00433022418363621,"Excluding single-grid cities (n=60)",60
3.52144288577154,0.951693221623831,0.910091817207636,0.995196276858851,-0.0495125423166887,-0.0942097865307361,-0.00481529810264126,"Excluding single-grid cities (n=60)",60
3.8735871743487,0.947410579157459,0.902357172454896,0.994713438202695,-0.054022722038619,-0.102744858966872,-0.00530058511036571,"Excluding single-grid cities (n=60)",60
4.22573146292585,0.943266072801575,0.894913505639031,0.994231150264251,-0.0584068804720526,-0.111028207121495,-0.00578555382260966,"Excluding single-grid cities (n=60)",60
4.57787575150301,0.939268816551767,0.887774389438418,0.99375012417809,-0.0626535611362169,-0.119037634217915,-0.00626948805451876,"Excluding single-grid cities (n=60)",60
4.93002004008016,0.935427806244651,0.880952862523101,0.99327128376603,-0.0667513075503398,-0.126751158991449,-0.006751456109231,"Excluding single-grid cities (n=60)",60
