scope,scope_label,denominator_package,scenario,indicator,heatwave_type,activity_type,curve_scope,partition_family,partition_name,denominator_id,denominator_label,denominator_months,scope_label_plot,heatwave_label_plot,indicator_label_plot,scenario_label_plot,period_plot,heatwave_days,pa_loss_fraction_percent_all_days,pa_loss_fraction_low_percent_all_days,pa_loss_fraction_high_percent_all_days,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,benefit_adjusted_asri_percent,benefit_adjusted_asri_low_percent,benefit_adjusted_asri_high_percent,exposure_clipped_share
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp585,cehwi,composite,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Compound,CEHWI,SSP5-8.5,2025-2050,613.6617826617827,0.30917536544926627,0.034920079073788454,1.1113977311928651,0.31841374454754595,0.03535109764143652,1.272130117880471,0.3085064389674723,0.03472770848040238,1.272130117880471,1.286618778715723e-07
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp245,cehwi,day,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Daytime,CEHWI,SSP2-4.5,2025-2050,807.7848232848233,0.2678531294603292,0.0004886947597030658,1.037041231758974,0.2811259034750094,0.0004952655070726389,1.1411172146679984,0.27613286660368547,8.823125908862308e-05,1.1411172146679984,1.5821933630152806e-07
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp370,cehwi,day,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Daytime,CEHWI,SSP3-7.0,2025-2050,807.8409563409564,0.24544364047745548,0.0006476496029794678,0.9816163716442362,0.2527438256533355,0.0006558160069187605,1.052126444513827,0.2492903359862577,0.00011872946774056923,1.052126444513827,0.0
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp585,cehwi,day,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Daytime,CEHWI,SSP5-8.5,2025-2050,865.9209979209979,0.3003682041425474,0.0008879751142438561,1.1664691815950394,0.3122456941179456,0.0009006400772127277,1.2691611871817072,0.3079451783447204,0.00034554912078526347,1.2691611871817072,7.119870133568764e-07
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp245,cehwi,night,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Nighttime,CEHWI,SSP2-4.5,2025-2050,475.96275946275944,1.3972980305444855,0.2251665274080749,3.184053217426912,2.6611646475107475,0.8194845780278197,51.42945939219249,2.6611646475107475,0.0,51.4293312239777,0.0
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp370,cehwi,night,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Nighttime,CEHWI,SSP3-7.0,2025-2050,509.6251526251526,1.4639561950379631,0.2177053179248081,3.367053968458467,2.7271334542420322,0.7669680589558795,54.75036278964689,2.727133454242032,0.0,54.75026469964476,0.0
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp585,cehwi,night,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Nighttime,CEHWI,SSP5-8.5,2025-2050,528.514652014652,1.5802608555969466,0.29185220486217467,3.5070143452449987,3.0752366939147686,1.031074608013174,55.96127608738096,3.0752366939147686,0.0,55.96110678680448,0.0
control_zone,climate-zone control,annual_all_days_primary,ssp245,cehwi,composite,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Compound,CEHWI,SSP2-4.5,2025-2050,539.3211233211233,0.2876147653002321,0.02799914275565922,0.7834840729535476,0.7202691743568936,0.12983636301748483,1.4481439599317272,0.6767936315625942,0.09092344723742365,1.4424447793279511,0.0
control_zone,climate-zone control,annual_all_days_primary,ssp370,cehwi,composite,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Compound,CEHWI,SSP3-7.0,2025-2050,570.8455433455433,0.28040795259099804,0.006056017528857552,0.8106501500275475,0.35815410809785,0.008493336182120798,1.086770773324688,0.3242551074947532,0.0,1.080254610731648,0.0
control_zone,climate-zone control,annual_all_days_primary,ssp585,cehwi,composite,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Compound,CEHWI,SSP5-8.5,2025-2050,613.6617826617827,0.3915599342696941,0.04184453905623103,1.0208168886662665,1.0009707118120454,0.13051525127075575,1.9807733545030288,0.9492541243283914,0.07060162771267349,1.9727777449509136,0.0
control_zone,climate-zone control,annual_all_days_primary,ssp245,cehwi,day,all,zone,ZONE_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","Climate-zone
control",Daytime,CEHWI,SSP2-4.5,2025-2050,815.7576312576313,0.37129639480261467,0.0002869494385794476,1.102581181725307,0.40540771323173563,0.0002878087101889782,1.3899847612277232,0.3990908585920413,0.0,1.3899847612277232,1.0453777577065249e-06
