"model_id","city","activity","model_type","component","coefficient"
"Kansas_City__all","Kansas_City","all","composite_all",3,-1.33703864362014
"Las_Vegas__all","Las_Vegas","all","composite_all",1,0.689588142105499
"Las_Vegas__all","Las_Vegas","all","composite_all",2,-1.53880035335933
"Las_Vegas__all","Las_Vegas","all","composite_all",3,-2.58723793955604
"Los_Angeles__all","Los_Angeles","all","composite_all",1,-0.948412157555119
"Los_Angeles__all","Los_Angeles","all","composite_all",2,-2.49402065286605
"Los_Angeles__all","Los_Angeles","all","composite_all",3,-6.13349671098822
"Louisville__all","Louisville","all","composite_all",1,17.2188688672527
"Louisville__all","Louisville","all","composite_all",2,-32.026393989796
"Louisville__all","Louisville","all","composite_all",3,-48.109364325988
"Lubbock__all","Lubbock","all","composite_all",1,2.24420473626359
"Lubbock__all","Lubbock","all","composite_all",2,-4.3562268990593
"Lubbock__all","Lubbock","all","composite_all",3,-2.41154746406267
"Mesa__all","Mesa","all","composite_all",1,-2.15758356169876
"Mesa__all","Mesa","all","composite_all",2,0.361181131038339
"Mesa__all","Mesa","all","composite_all",3,1.50003238222069
"Miami__all","Miami","all","composite_all",1,50.6378858692286
"Miami__all","Miami","all","composite_all",2,-250.565215087295
"Miami__all","Miami","all","composite_all",3,-382.837517885096
"Milwaukee__all","Milwaukee","all","composite_all",1,9.02880439560764
"Milwaukee__all","Milwaukee","all","composite_all",2,-6.67591165979197
"Milwaukee__all","Milwaukee","all","composite_all",3,-12.0859782602666
"Minneapolis__all","Minneapolis","all","composite_all",1,-19.8620224809127
"Minneapolis__all","Minneapolis","all","composite_all",2,5.28103122910601
"Minneapolis__all","Minneapolis","all","composite_all",3,-9.90690686588825
"Miramar__all","Miramar","all","composite_all",1,-9.58336811829228
"Miramar__all","Miramar","all","composite_all",2,1.4778089535029
"Miramar__all","Miramar","all","composite_all",3,7.07462313791256
"Nashville__all","Nashville","all","composite_all",1,0.580219194895015
"Nashville__all","Nashville","all","composite_all",2,-0.663724969531145
"Nashville__all","Nashville","all","composite_all",3,-0.928731819260577
"New_York__all","New_York","all","composite_all",1,0.349248138156315
"New_York__all","New_York","all","composite_all",2,-0.0756167217716759
"New_York__all","New_York","all","composite_all",3,0.532886438480377
"Newark__all","Newark","all","composite_all",1,15.0657651040355
"Newark__all","Newark","all","composite_all",2,-28.8895169886499
"Newark__all","Newark","all","composite_all",3,-45.7721422249535
"Oklahoma_City__all","Oklahoma_City","all","composite_all",1,5.63873498929933
"Oklahoma_City__all","Oklahoma_City","all","composite_all",2,-41.2812410291161
"Oklahoma_City__all","Oklahoma_City","all","composite_all",3,-72.0902567539954
"Orlando__all","Orlando","all","composite_all",1,0.381538009048866
"Orlando__all","Orlando","all","composite_all",2,-1.50411251539659
"Orlando__all","Orlando","all","composite_all",3,-3.23795199879632
"Overland_Park__all","Overland_Park","all","composite_all",1,2.13109771851309
"Overland_Park__all","Overland_Park","all","composite_all",2,-7.56733484849835
"Overland_Park__all","Overland_Park","all","composite_all",3,-13.898245281624
"Palm_Bay__all","Palm_Bay","all","composite_all",1,-24.4930756174946
"Palm_Bay__all","Palm_Bay","all","composite_all",2,10.4949420007563
"Palm_Bay__all","Palm_Bay","all","composite_all",3,20.4312669151342
"Philadelphia__all","Philadelphia","all","composite_all",1,-1.25464571748249
"Philadelphia__all","Philadelphia","all","composite_all",2,2.76366000156993
"Philadelphia__all","Philadelphia","all","composite_all",3,5.16018627640819
"Phoenix__all","Phoenix","all","composite_all",1,0.592123847804821
"Phoenix__all","Phoenix","all","composite_all",2,-0.553992899355905
"Phoenix__all","Phoenix","all","composite_all",3,-0.666079118863798
"Raleigh__all","Raleigh","all","composite_all",1,-0.88656937067294
"Raleigh__all","Raleigh","all","composite_all",2,1.829259850096
"Raleigh__all","Raleigh","all","composite_all",3,3.9783580911583
"Richmond__all","Richmond","all","composite_all",1,-4.61465421044688
"Richmond__all","Richmond","all","composite_all",2,1.78516031160202
"Richmond__all","Richmond","all","composite_all",3,2.03810407999784
"Riverside__all","Riverside","all","composite_all",1,2.62713413559468
"Riverside__all","Riverside","all","composite_all",2,-18.8591388626253
"Riverside__all","Riverside","all","composite_all",3,-34.8239903535548
"Sacramento__all","Sacramento","all","composite_all",1,16.3548849833414
"Sacramento__all","Sacramento","all","composite_all",2,-17.6616628852734
"Sacramento__all","Sacramento","all","composite_all",3,-12.9804474319778
"San_Antonio__all","San_Antonio","all","composite_all",1,1.07735976349196
"San_Antonio__all","San_Antonio","all","composite_all",2,-1.72365051536411
"San_Antonio__all","San_Antonio","all","composite_all",3,-3.24087132444977
"San_Bernardino__all","San_Bernardino","all","composite_all",1,9.15654774684513
"San_Bernardino__all","San_Bernardino","all","composite_all",2,-1.49402425420168
"San_Bernardino__all","San_Bernardino","all","composite_all",3,1.08925982841247
"San_Jose__all","San_Jose","all","composite_all",1,-0.0526045378226586
"San_Jose__all","San_Jose","all","composite_all",2,0.261771613845592
"San_Jose__all","San_Jose","all","composite_all",3,-0.236322271734333
"Scottsdale__all","Scottsdale","all","composite_all",1,1.26014561112054
"Scottsdale__all","Scottsdale","all","composite_all",2,-3.06932443356022
"Scottsdale__all","Scottsdale","all","composite_all",3,-5.42492693414611
"St_Louis__all","St_Louis","all","composite_all",1,2.66465109234932
"St_Louis__all","St_Louis","all","composite_all",2,-1.15628836416275
"St_Louis__all","St_Louis","all","composite_all",3,-0.628799091252999
"St_Petersburg__all","St_Petersburg","all","composite_all",1,-0.830085891072597
"St_Petersburg__all","St_Petersburg","all","composite_all",2,1.04225942912353
"St_Petersburg__all","St_Petersburg","all","composite_all",3,-0.345740453860828
"Tallahassee__all","Tallahassee","all","composite_all",1,-3.7402494365683
"Tallahassee__all","Tallahassee","all","composite_all",2,4.83283760246511
"Tallahassee__all","Tallahassee","all","composite_all",3,10.0448145631764
"Tampa__all","Tampa","all","composite_all",1,-0.251626403916915
"Tampa__all","Tampa","all","composite_all",2,0.00172362758039624
"Tampa__all","Tampa","all","composite_all",3,0.0691368825520085
"Tucson__all","Tucson","all","composite_all",1,-0.26106245186239
"Tucson__all","Tucson","all","composite_all",2,-0.447939948487399
"Tucson__all","Tucson","all","composite_all",3,-0.444642322361199
"Virginia_Beach__all","Virginia_Beach","all","composite_all",1,2.28285055941535
"Virginia_Beach__all","Virginia_Beach","all","composite_all",2,-8.28402275471272
"Virginia_Beach__all","Virginia_Beach","all","composite_all",3,-14.4713663630477
"Visalia__all","Visalia","all","composite_all",1,1.32830453729509
"Visalia__all","Visalia","all","composite_all",2,-1.93730122110854
"Visalia__all","Visalia","all","composite_all",3,-1.28453925163114
"Washington__all","Washington","all","composite_all",1,-1.36905898661006
"Washington__all","Washington","all","composite_all",2,-0.413344691135013
"Washington__all","Washington","all","composite_all",3,-0.597469371317792
"Abilene__ride","Abilene","ride","composite_ride",1,-1.73631979985093
"Abilene__ride","Abilene","ride","composite_ride",2,-0.697364743458454
"Abilene__ride","Abilene","ride","composite_ride",3,0.0198770320240992
"Amarillo__ride","Amarillo","ride","composite_ride",1,30.4964670592615
"Amarillo__ride","Amarillo","ride","composite_ride",2,-178.91136915988
"Amarillo__ride","Amarillo","ride","composite_ride",3,-304.772370253627
