"model_id","city","activity","row_component","col_component","covariance"
"Charleston__all","Charleston","all",2,3,1.64501058110566
"Charleston__all","Charleston","all",3,3,3.20156590113844
"Charlotte__all","Charlotte","all",1,1,2.90457172865125
"Charlotte__all","Charlotte","all",2,1,-4.51663579834867
"Charlotte__all","Charlotte","all",3,1,-6.85211303414697
"Charlotte__all","Charlotte","all",1,2,-4.51663579834867
"Charlotte__all","Charlotte","all",2,2,10.6209214731679
"Charlotte__all","Charlotte","all",3,2,16.0760462723296
"Charlotte__all","Charlotte","all",1,3,-6.85211303414697
"Charlotte__all","Charlotte","all",2,3,16.0760462723296
"Charlotte__all","Charlotte","all",3,3,24.5080964974875
"Chicago__all","Chicago","all",1,1,28.9434950778554
"Chicago__all","Chicago","all",2,1,-14.5021053295252
"Chicago__all","Chicago","all",3,1,-10.3509036723428
"Chicago__all","Chicago","all",1,2,-14.5021053295252
"Chicago__all","Chicago","all",2,2,9.44200085281422
"Chicago__all","Chicago","all",3,2,8.26097248367476
"Chicago__all","Chicago","all",1,3,-10.3509036723429
"Chicago__all","Chicago","all",2,3,8.26097248367476
"Chicago__all","Chicago","all",3,3,10.4432530341562
"Cincinnati__all","Cincinnati","all",1,1,152.761620134069
"Cincinnati__all","Cincinnati","all",2,1,-135.991171788725
"Cincinnati__all","Cincinnati","all",3,1,-177.345433622518
"Cincinnati__all","Cincinnati","all",1,2,-135.991171788725
"Cincinnati__all","Cincinnati","all",2,2,150.317932244591
"Cincinnati__all","Cincinnati","all",3,2,196.711142492419
"Cincinnati__all","Cincinnati","all",1,3,-177.345433622518
"Cincinnati__all","Cincinnati","all",2,3,196.711142492419
"Cincinnati__all","Cincinnati","all",3,3,266.121972556527
"Clearwater__all","Clearwater","all",1,1,88.695494826523
"Clearwater__all","Clearwater","all",2,1,-15.7902710674616
"Clearwater__all","Clearwater","all",3,1,-65.2180831163167
"Clearwater__all","Clearwater","all",1,2,-15.7902710674616
"Clearwater__all","Clearwater","all",2,2,3.15140217576267
"Clearwater__all","Clearwater","all",3,2,11.7609045294466
"Clearwater__all","Clearwater","all",1,3,-65.2180831163167
"Clearwater__all","Clearwater","all",2,3,11.7609045294466
"Clearwater__all","Clearwater","all",3,3,49.3256819255567
"Cleveland__all","Cleveland","all",1,1,250168089.311071
"Cleveland__all","Cleveland","all",2,1,-716066072.914136
"Cleveland__all","Cleveland","all",3,1,-836813782.255246
"Cleveland__all","Cleveland","all",1,2,-716066072.914136
"Cleveland__all","Cleveland","all",2,2,44924185510.6844
"Cleveland__all","Cleveland","all",3,2,59148380104.1559
"Cleveland__all","Cleveland","all",1,3,-836813782.255246
"Cleveland__all","Cleveland","all",2,3,59148380104.1559
"Cleveland__all","Cleveland","all",3,3,77923727910.0973
"Columbia__all","Columbia","all",1,1,10.7407918260377
"Columbia__all","Columbia","all",2,1,-52.6678420463659
"Columbia__all","Columbia","all",3,1,-96.0001522039742
"Columbia__all","Columbia","all",1,2,-52.6678420463659
"Columbia__all","Columbia","all",2,2,361.619773946114
"Columbia__all","Columbia","all",3,2,649.170330933165
"Columbia__all","Columbia","all",1,3,-96.0001522039742
"Columbia__all","Columbia","all",2,3,649.170330933165
"Columbia__all","Columbia","all",3,3,1166.36019767159
"Columbus__all","Columbus","all",1,1,63.7732121390479
"Columbus__all","Columbus","all",2,1,-112.547966344028
"Columbus__all","Columbus","all",3,1,-144.579046214538
"Columbus__all","Columbus","all",1,2,-112.547966344028
"Columbus__all","Columbus","all",2,2,245.015859700788
"Columbus__all","Columbus","all",3,2,313.485479927421
"Columbus__all","Columbus","all",1,3,-144.579046214538
"Columbus__all","Columbus","all",2,3,313.485479927421
"Columbus__all","Columbus","all",3,3,402.584215918319
"Corpus_Christi__all","Corpus_Christi","all",1,1,5096876510.25347
"Corpus_Christi__all","Corpus_Christi","all",2,1,-3406034757.53302
"Corpus_Christi__all","Corpus_Christi","all",3,1,-7654314634.98341
"Corpus_Christi__all","Corpus_Christi","all",1,2,-3406034757.53302
"Corpus_Christi__all","Corpus_Christi","all",2,2,8902940871.726
"Corpus_Christi__all","Corpus_Christi","all",3,2,16548448461.003
"Corpus_Christi__all","Corpus_Christi","all",1,3,-7654314634.98342
"Corpus_Christi__all","Corpus_Christi","all",2,3,16548448461.003
"Corpus_Christi__all","Corpus_Christi","all",3,3,32246743793.9018
"Dallas__all","Dallas","all",1,1,0.0553815013604146
"Dallas__all","Dallas","all",2,1,-0.0844481499322125
