"model_id","city","activity","basis_fun","knots","boundary_knots","intercept","lag_effect_days"
"Louisville__walk","Louisville","walk","ns","7.8070000000000075;15.6869249999999933","0.000000000000000;22.940000000000008","FALSE","12"
"Lubbock__walk","Lubbock","walk","ns","8.0377499999999955;20.9199999999999946","0.000000000000000;39.077000000000012","FALSE","12"
"Mesa__walk","Mesa","walk","ns","4.9082500000000024;12.1162500000000435","0.000000000000000;33.125000000000014","FALSE","12"
"Miami__walk","Miami","walk","ns","1.7200000000000006;4.1915999999999967","0.0000000000000000;6.7200000000000024","FALSE","12"
"Milwaukee__walk","Milwaukee","walk","ns","8.7089999999999996;22.7049999999999983","0.000000000000000;34.164999999999992","FALSE","12"
"Minneapolis__walk","Minneapolis","walk","ns","9.4135000000000009;18.3518000000000150","0.000000000000000;19.312000000000044","FALSE","12"
"Miramar__walk","Miramar","walk","ns","1.6194999999999986;4.4820000000000064","0.0000000000000000;9.2200000000000166","FALSE","12"
"Nashville__walk","Nashville","walk","ns","5.2380000000000013;16.5923500000000068","0.000000000000000;42.750000000000014","FALSE","12"
"New_York__walk","New_York","walk","ns","8.3000000000000007;17.2099999999999973","0.000000000000000;22.655000000000001","FALSE","12"
"Newark__walk","Newark","walk","ns","8.6712500000000006;14.5745000000000076","0.00000000000000;18.08150000000003","FALSE","12"
"Oklahoma_City__walk","Oklahoma_City","walk","ns","8.2825000000000042;60.9972999999999956","0.00000000000000;174.12500000000009","FALSE","12"
"Orlando__walk","Orlando","walk","ns","3.4550000000000054;11.2491000000000110","0.000000000000000;22.594999999999978","FALSE","8"
"Overland_Park__walk","Overland_Park","walk","ns","5.7500000000000071;22.4102000000000956","0.000000000000000;70.479000000000042","FALSE","8"
"Palm_Bay__walk","Palm_Bay","walk","ns","2.4275000000000002;8.1699999999999928","0.000000000000000;14.044999999999987","FALSE","12"
"Philadelphia__walk","Philadelphia","walk","ns","6.7200000000000006;12.3784999999999936","0.000000000000000;23.289000000000001","FALSE","12"
"Phoenix__walk","Phoenix","walk","ns","4.5450000000000017;12.3201250000000684","0.000000000000000;34.122500000000016","FALSE","12"
"Raleigh__walk","Raleigh","walk","ns","4.8835000000000015;12.3397000000000041","0.000000000000000;32.434999999999988","FALSE","8"
"Richmond__walk","Richmond","walk","ns","6.235000000000003;14.285500000000006","0.000000000000000;21.083500000000001","FALSE","12"
"Riverside__walk","Riverside","walk","ns","9.0150000000000006;15.8351250000000192","0.000000000000000;33.699999999999989","FALSE","12"
"Sacramento__walk","Sacramento","walk","ns","16.970375000000018;29.421900000000008","0.000000000000000;37.155000000000008","FALSE","12"
"San_Antonio__walk","San_Antonio","walk","ns","3.9995000000000012;22.6650000000000063","0.000000000000000;65.123999999999953","FALSE","12"
"San_Bernardino__walk","San_Bernardino","walk","ns","6.9000000000000057;13.8525999999999954","0.000000000000000;29.989999999999995","FALSE","12"
"San_Jose__walk","San_Jose","walk","ns","16.616999999999997;27.208199999999994","0.000000000000000;39.813000000000002","FALSE","12"
"Scottsdale__walk","Scottsdale","walk","ns","4.7670000000000172;12.7190000000000154","0.000000000000000;53.035000000000011","FALSE","12"
"St_Louis__walk","St_Louis","walk","ns","5.2149999999999999;19.1609000000000407","0.000000000000000;49.135000000000019","FALSE","8"
"St_Petersburg__walk","St_Petersburg","walk","ns","2.3494999999999990;7.1335999999999995","0.000000000000000;14.230000000000004","FALSE","8"
"Tallahassee__walk","Tallahassee","walk","ns","2.8279999999999994;7.4919999999999956","0.000000000000000;17.289999999999999","FALSE","12"
"Tampa__walk","Tampa","walk","ns","3.4899999999999984;9.5985000000000085","0.000000000000000;14.489999999999997","FALSE","8"
"Tucson__walk","Tucson","walk","ns","4.558625000000017;15.637500000000010","0.000000000000000;47.181499999999986","FALSE","12"
"Virginia_Beach__walk","Virginia_Beach","walk","ns","3.8135000000000017;12.0740000000000691","0.000000000000000;33.415000000000006","FALSE","12"
"Visalia__walk","Visalia","walk","ns","8.8437499999999929;27.6465999999999852","0.000000000000000;64.919999999999987","FALSE","12"
"Washington__walk","Washington","walk","ns","6.1750000000000043;13.9633250000000011","0.000000000000000;28.817499999999999","FALSE","12"
