term,estimate,std.error,statistic,p.value,conf.low,conf.high,city,lag,pct,pct_low,pct_high,n_obs
post1,-0.22572134871249508,0.1490370292199586,-1.5145319917734053,0.12989096617462367,-0.5178285583464575,0.06638586092146734,Abilene,1,-20.20595821853285,-40.41870827035734,6.86389836450616,21916
post2,-0.0014487215727106094,0.315233898247893,-0.004595703637085904,0.9963331719294836,-0.6192958088447448,0.6163983656993236,Abilene,2,-0.14476726821909258,-46.16766132797009,85.22449051798071,21916
post3,-0.057835326341355325,0.05931030806556903,-0.9751311066773911,0.3294952302954055,-0.17408139406184608,0.058410741379135434,Abilene,3,-5.619464547850184,-15.977149473582053,6.015035391280965,21916
post4,0.8475121163884249,0.08791895196200865,9.639697670129758,5.4347802368873725e-22,0.6751941369843809,1.0198300957924689,Abilene,4,133.3833317563248,96.44143044228069,177.27236265308463,21916
post5,0.29553013826913316,0.2381305350125256,1.2410425998227752,0.21459001223543028,-0.17119713397467123,0.7622574105129376,Abilene,5,34.383859014319285,-15.734455891938993,114.31086400417465,21916
post6,0.378615077670131,0.04439424133564636,8.528472754102951,1.482924143273725e-17,0.2916039635312848,0.46562619180897713,Abilene,6,46.026084054467155,33.857278901080925,59.301140732438085,21916
post7,-0.01245347747915377,0.04327262775344866,-0.2877911078132129,0.7735066444823104,-0.09726626939232152,0.07235931443401397,Abilene,7,-1.2376253828561778,-9.26856160832502,7.5041552621525565,21916
post8,-0.22120337885123803,0.4875280352310335,-0.45372442786067163,0.650027182643047,-1.1767407693576382,0.734334011655162,Abilene,8,-19.844635534769818,-69.17181352965909,108.40935481998315,21916
post9,0.1465214011451705,0.2659399736477945,0.5509566656542596,0.5816633810575451,-0.3747113692540376,0.6677541715443787,Abilene,9,15.779970879296323,-31.251231976079673,94.98533635026874,21916
post10,-0.11584286243259305,0.33382127814214735,-0.34702060658717204,0.7285758378039078,-0.7701205448643297,0.5384348199991437,Abilene,10,-10.93848385976235,-53.70427421723731,71.3323103393515,21916
post11,0.41478538762681794,0.21516855917852798,1.9277230335620987,0.05388958551217604,-0.0069372389684720925,0.836508014222108,Abilene,11,51.404577286581635,-0.691323187261772,130.82923626657478,21916
post12,0.4411721428856723,0.24612542628045048,1.7924687812748512,0.07305790562661184,-0.04122482830357865,0.9235691140749233,Abilene,12,55.45282802948539,-4.038664255042135,151.82623350086598,21916
post1,0.6329667877185694,0.09929595341093914,6.374547662572092,1.8350374248985487e-10,0.43835029522256164,0.8275832802145772,Amarillo,1,88.31893226529172,55.01478217000238,128.77831232021913,27395
post2,0.31679745451723507,0.16028116175446916,1.9765108453763858,0.048096948636086226,0.0026521500782368257,0.6309427589562333,Amarillo,2,37.27245046182799,0.26556701394779836,87.93815481214698,27395
post3,0.1934113850272035,0.32193230589433,0.6007827778883684,0.5479846763404894,-0.4375643399856149,0.824387110040022,Amarillo,3,21.338185798691246,-35.439301325266506,128.04826520069406,27395
post4,0.5287535024777948,0.21971797463398357,2.406509997002371,0.01610576321370345,0.098114185439102,0.9593928195164877,Amarillo,4,69.68159130204282,10.308873458910007,161.0111183622815,27395
post5,0.3395487443241745,0.17244337639276697,1.9690448623019228,0.04894793961327428,0.001565937221866709,0.6775315514264822,Amarillo,5,40.431374301352285,0.15671639417966787,96.90113252667034,27395
post6,0.2582954557559765,0.04779000020739121,5.4048013106312665,6.488027209883189e-8,0.16462877652832805,0.35196213498362494,Amarillo,6,29.4721294978022,17.89553815575764,42.18546841483675,27395
post7,0.3636559714138734,0.0602487261326089,6.035911375345229,1.5806799266606399e-9,0.24557063807954282,0.481741304748204,Amarillo,7,43.85792166423481,27.835058063152964,61.889093172933386,27395
post8,0.8942842224763594,0.11724525061025186,7.627466509915616,2.3941197421528433e-14,0.664487753921893,1.1240806910308259,Amarillo,8,144.55846682927637,94.3494718763116,207.738647913332,27395
post9,0.8022447681371406,0.07274572879125049,11.02806695963201,2.798146810085641e-28,0.6596657596771712,0.94482377659711,Amarillo,9,123.05423632872046,93.41457568497387,157.2360028606362,27395
