scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
ssp245,Gilbert,exceeded_quantity,composite,all,Gilbert,2025-2050,37960.0,4821.0,0.3605859299302363,0.0,0.8335862554135686,0.3674796254862985,0.0,0.8705441976370606,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Henderson,exceeded_quantity,composite,all,Henderson,2025-2050,113880.0,12329.0,0.3066957560684819,0.0,0.709695327846783,0.3124988543992107,0.0,0.7408723178399523,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,Houston,exceeded_quantity,composite,all,Houston,2025-2050,531440.0,80254.0,0.3424393828537586,0.0,0.8033962117355309,0.34777370660324863,0.0,0.8327877625406385,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Indianapolis,exceeded_quantity,composite,all,Indianapolis,2025-2050,237250.0,11146.0,0.17118857139375512,0.0,0.39215323262878077,0.1748718935572887,0.0,0.41180013330524506,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Jacksonville,exceeded_quantity,composite,all,Jacksonville,2025-2050,256230.0,28777.0,0.2232341295610748,0.0,0.5284152536476308,0.22622171538340596,0.0,0.5452160175933178,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Kansas_City,exceeded_quantity,composite,all,Kansas City,2025-2050,351130.0,53966.0,0.5691002221178805,0.0007985326245825231,1.2787288895061601,0.5843911305612823,0.0008043960592861263,1.3559461616174393,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,Las_Vegas,exceeded_quantity,composite,all,Las Vegas,2025-2050,132860.0,14615.0,0.3384221312032231,0.0,0.7776559039142964,0.34538932505871506,0.0,0.8145713540868872,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Los_Angeles,exceeded_quantity,composite,all,Los Angeles,2025-2050,313170.0,2368.0,0.04038725501789038,3.903138477805314e-06,0.08884634787416307,0.04161643169778531,3.9210379186654205e-06,0.09498423649664012,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,Louisville,exceeded_quantity,composite,all,Louisville,2025-2050,227760.0,16341.0,0.2540602614878707,0.0,0.5786214065369897,0.2599599497379798,0.0,0.6093522479766953,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Lubbock,exceeded_quantity,composite,all,Lubbock,2025-2050,94900.0,14035.0,0.5086167664249022,0.0,1.15451635719702,0.5206567991572416,0.0,1.2166688209217065,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Mesa,exceeded_quantity,composite,all,Mesa,2025-2050,75920.0,8932.0,0.33290455731493707,0.0,0.770044065199916,0.3392250294410324,0.0,0.8039717836262625,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Miami,exceeded_quantity,composite,all,Miami,2025-2050,9490.0,657.0,0.07842846300376967,0.0,0.1894843407554429,0.07900341109716534,0.0,0.1928589385164,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Milwaukee,exceeded_quantity,composite,all,Milwaukee,2025-2050,113880.0,6665.0,0.2424547670772088,0.0002268124120627753,0.544811179119844,0.24884176991460172,0.0002284817055235852,0.5773364720444552,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Minneapolis,exceeded_quantity,composite,all,Minneapolis,2025-2050,66430.0,2085.0,0.13915470650426012,0.0,0.31286261290496115,0.14277021765439218,0.0,0.3315282757651781,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,Miramar,exceeded_quantity,composite,all,Miramar,2025-2050,18980.0,1424.0,0.0840539403971544,0.0,0.20324743024206016,0.08464790719956167,0.0,0.20674252595650663,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Nashville,exceeded_quantity,composite,all,Nashville,2025-2050,275210.0,34501.0,0.37433324948201196,0.0,0.8583401578449631,0.38226054583135677,0.0,0.8998393242651178,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,New_York,exceeded_quantity,composite,all,New York,2025-2050,180310.0,8492.0,0.18075690812815928,4.661396867861683e-06,0.40900122971716146,0.18520350943456607,4.681096768215628e-06,0.4319482124521375,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Newark,exceeded_quantity,composite,all,Newark,2025-2050,28470.0,837.0,0.11494887702802545,0.0,0.26060417883909354,0.1177289001588632,0.0,0.2750428627893081,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,Oklahoma_City,exceeded_quantity,composite,all,Oklahoma City,2025-2050,275210.0,44069.0,0.5981847185964406,0.00012591717100015842,1.341818742275982,0.6140033426368536,0.0001266582879717048,1.4217617328655254,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Orlando,exceeded_quantity,composite,all,Orlando,2025-2050,123370.0,10869.0,0.1443453938676067,0.0,0.3452421296164098,0.14587559657336724,0.0,0.3540643179674214,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,Overland_Park,exceeded_quantity,composite,all,Overland Park,2025-2050,56940.0,8842.0,0.5780517603311878,0.0007339734573709653,1.2981414706285057,0.5935946968967477,0.0007395102137319399,1.3764188152848893,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,Palm_Bay,exceeded_quantity,composite,all,Palm Bay,2025-2050,56940.0,3601.0,0.07808881965460167,0.0,0.18841760905968954,0.07869861883745037,0.0,0.1919900571230235,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Philadelphia,exceeded_quantity,composite,all,Philadelphia,2025-2050,151840.0,7462.0,0.1694963602355599,0.0,0.3877623958875971,0.17319405299715118,0.0,0.4072198068793781,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,Phoenix,exceeded_quantity,composite,all,Phoenix,2025-2050,294190.0,33119.0,0.3046671902264147,0.0,0.7074511810827802,0.31017907002334083,0.0,0.7372694486492369,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Raleigh,exceeded_quantity,composite,all,Raleigh,2025-2050,142350.0,17193.0,0.36627901362749465,0.0,0.8423661503890196,0.3737917773897935,0.0,0.8821358478484449,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,Richmond,exceeded_quantity,composite,all,Richmond,2025-2050,75920.0,6962.0,0.2867834091793505,0.0,0.659475515929592,0.29267056315381557,0.0,0.6907226612261824,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Riverside,exceeded_quantity,composite,all,Riverside,2025-2050,56940.0,1224.0,0.08853664727689946,0.0,0.2000665790760029,0.09076637557174455,0.0,0.2116233283102003,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Sacramento,exceeded_quantity,composite,all,Sacramento,2025-2050,123370.0,1164.0,0.05422629237832282,0.0,0.11857876603713689,0.05596678082097838,0.0,0.1272236590148326,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,San_Antonio,exceeded_quantity,composite,all,San Antonio,2025-2050,256230.0,44594.0,0.4089810139103331,0.0,0.9581560847477213,0.4155079128835221,0.0,0.9941238082513953,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,San_Bernardino,exceeded_quantity,composite,all,San Bernardino,2025-2050,66430.0,1575.0,0.09309112544790712,0.0,0.21131431845198506,0.09531063782818147,0.0,0.22290980355015752,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,San_Jose,exceeded_quantity,composite,all,San Jose,2025-2050,180310.0,2332.0,0.07806926353883269,4.446168921760812e-05,0.16951017446640346,0.08068399964008494,4.48316755622438e-05,0.18233869367747607,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
