scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
ssp245,Gilbert,cehwi,composite,all,Gilbert,2025-2050,37960.0,4821.0,0.32952118626035315,0.010293230318203315,0.6361336624427505,0.33650646873441575,0.010301015189167385,0.6627119222796645,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Henderson,cehwi,composite,all,Henderson,2025-2050,113880.0,12329.0,0.32693539773746133,0.010748851177395328,0.6283103879370288,0.3353142196684737,0.010759373614670746,0.6600696376295129,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Houston,cehwi,composite,all,Houston,2025-2050,531440.0,80254.0,0.40933796570861264,0.01317090848065049,0.7879447862986622,0.4192378016753745,0.013182903924074623,0.825515109125512,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Indianapolis,cehwi,composite,all,Indianapolis,2025-2050,237250.0,11146.0,0.1460322615044327,0.004424957722293134,0.2821795154412702,0.14956060242392374,0.004428741345496213,0.29576136788566476,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Jacksonville,cehwi,composite,all,Jacksonville,2025-2050,256230.0,28777.0,0.221023309805847,0.006708006279910562,0.4279254604894189,0.22511501930139408,0.006712421126775276,0.44351761747601326,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Kansas_City,cehwi,composite,all,Kansas City,2025-2050,351130.0,53966.0,0.6078913177889864,0.017944592251772962,1.1939947826464923,0.6280980111830569,0.017964967592932708,1.285517463697382,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
ssp245,Las_Vegas,cehwi,composite,all,Las Vegas,2025-2050,132860.0,14615.0,0.3603043679954155,0.011981923404523465,0.6915066821659981,0.3700712809871112,0.01199436345768054,0.7285152750904367,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Los_Angeles,cehwi,composite,all,Los Angeles,2025-2050,313170.0,2368.0,0.02714804649399529,0.0008779945198746584,0.05223104198930359,0.027807940288995293,0.0008787627312711226,0.05473711784671946,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Louisville,cehwi,composite,all,Louisville,2025-2050,227760.0,16341.0,0.22902923679444345,0.0068996414811137476,0.4423960330062699,0.23495374533460453,0.006905928143842859,0.4652536516110481,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Lubbock,cehwi,composite,all,Lubbock,2025-2050,94900.0,14035.0,0.573178759259607,0.017361404771749054,1.1072799353264056,0.5912510234943067,0.017381517463695734,1.1774987053752282,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Mesa,cehwi,composite,all,Mesa,2025-2050,75920.0,8932.0,0.2961723973105695,0.009192466757719234,0.5720417257243005,0.30231989233088913,0.009199250681169027,0.5954405339806097,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Miami,cehwi,composite,all,Miami,2025-2050,9490.0,657.0,0.05772858558019835,0.0015625926026254988,0.11308433436669899,0.05816437663922092,0.0015629381875756061,0.11476581509086664,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Milwaukee,cehwi,composite,all,Milwaukee,2025-2050,113880.0,6665.0,0.20072832529329585,0.00636908840069823,0.38640669251663173,0.20603434131925455,0.006375292053846482,0.40667131312867283,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Minneapolis,cehwi,composite,all,Minneapolis,2025-2050,66430.0,2085.0,0.10619075382562157,0.0032933658366526503,0.2046908756714759,0.1088117197220954,0.0032962540234374145,0.21471470494443895,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Miramar,cehwi,composite,all,Miramar,2025-2050,18980.0,1424.0,0.06412125853835,0.0017330960093865104,0.12559638129081604,0.06461156762971004,0.001733473755364195,0.12748966150405636,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Nashville,cehwi,composite,all,Nashville,2025-2050,275210.0,34501.0,0.39863729588169095,0.012336219917856606,0.7697035171971941,0.40986852254045036,0.012349129496183024,0.8131191647011793,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
