city,lag,estimate,std.error,p.value,n_obs,pct,sig05,sig01,sig001,stars,direction,inside_plot_range,plot_ymin_pct,plot_ymax_pct
Abilene,1,-0.225721348712495,0.1490370292199586,0.1298909661746236,21916,-20.20595821853285,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,2,-0.0014487215727106,0.315233898247893,0.9963331719294836,21916,-0.1447672682190925,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,3,-0.0578353263413553,0.059310308065569,0.3294952302954055,21916,-5.619464547850184,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,4,0.8475121163884249,0.0879189519620086,5.4347802368873725e-22,21916,133.3833317563248,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Abilene,5,0.2955301382691331,0.2381305350125256,0.2145900122354302,21916,34.383859014319285,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,6,0.378615077670131,0.0443942413356463,1.482924143273725e-17,21916,46.02608405446716,True,True,True,***,PA_up,True,-99.58977602962183,143.3024128495964
Abilene,7,-0.0124534774791537,0.0432726277534486,0.7735066444823104,21916,-1.2376253828561778,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,8,-0.221203378851238,0.4875280352310335,0.650027182643047,21916,-19.844635534769814,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,9,0.1465214011451705,0.2659399736477945,0.5816633810575451,21916,15.779970879296323,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,10,-0.115842862432593,0.3338212781421473,0.7285758378039078,21916,-10.93848385976235,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,11,0.4147853876268179,0.2151685591785279,0.053889585512176,21916,51.40457728658164,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
Abilene,12,0.4411721428856723,0.2461254262804504,0.0730579056266118,21916,55.45282802948539,False,False,False,,non_significant,True,-99.58977602962183,143.3024128495964
