scenario,city_standard,model_key,indicator,heatwave_type,activity_type,curve_scope,partition_family,partition_name,denominator_id,denominator_label,denominator_months,period,n_days,heatwave_days,pa_loss_fraction_percent_all_days,pa_loss_fraction_low_percent_all_days,pa_loss_fraction_high_percent_all_days,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,benefit_adjusted_asri_percent,benefit_adjusted_asri_low_percent,benefit_adjusted_asri_high_percent,exposure_clipped_share,lon,lat
ssp245,Arlington,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,15878.0,0.8573233853831577,0.0237381999290537,1.67147829310696,0.8874016459317944,0.0237684745105915,1.791323185000551,0.8874016459317944,-0.0165198931369608,1.791323185000551,0.0,-97.1173723349748,32.70008691094104
ssp245,Arlington,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,7244.0,0.0386050667887893,0.0,0.0971880330964617,0.0388191283770642,0.0,0.0985245069138124,0.0388191283770642,-0.0208862501596854,0.0985245069138124,0.0,-97.1173723349748,32.70008691094104
ssp245,Arlington,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,10276.0,0.0,0.0,0.0412288307812352,0.0,0.0,0.0413624434936388,-0.0347688908210727,-0.1109002251357855,0.0413624434936388,0.0,-97.1173723349748,32.70008691094104
ssp245,Arlington,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,15878.0,0.6028645789895555,0.0,1.3729770314745484,0.6164636975045173,0.0,1.4438426945746303,0.6164636975045173,-0.2109152995655949,1.4438426945746303,0.0,-97.1173723349748,32.70008691094104
ssp245,Arlington,exceeded_quantity_day_all,exceeded_quantity,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,7244.0,0.0718306272509685,0.0,0.1734150676156571,0.0723682153460055,0.0,0.1764787012977952,0.0723682153460055,-0.0317422706057837,0.1764787012977952,0.0,-97.1173723349748,32.70008691094104
ssp245,Arlington,exceeded_quantity_night_all,exceeded_quantity,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,10276.0,0.0234194188776137,0.0,0.1754193164596913,0.023460131917227,0.0,0.1773987690811556,0.023460131917227,-0.1304785052467015,0.1773987690811556,0.0,-97.1173723349748,32.70008691094104
ssp245,Atlanta,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,113880.0,11110.0,0.2496017096256948,0.0079563235509081,0.4809557857024125,0.2553883845713234,0.0079633935433445,0.5029098261483737,0.2553883845713234,0.0078669429942736,0.5029098261483737,0.0,-84.41868766585188,33.78528111731029
ssp245,Atlanta,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,113880.0,19777.0,0.2420664566407003,0.0059535467596418,0.5547752522002332,0.2463682164024533,0.0060098531865154,0.5746381726065154,0.2463682164024533,-0.0819017398016107,0.5746381726065154,0.0,-84.41868766585188,33.78528111731029
ssp245,Atlanta,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,113880.0,8613.0,0.0,0.0,0.01954559374599,0.0,0.0,0.0195970313061666,-0.0165364839134156,-0.0526699991329986,0.0195970313061666,0.0,-84.41868766585188,33.78528111731029
ssp245,Atlanta,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,113880.0,11110.0,0.2603817062542288,0.0,0.6067367660320194,0.2648900439548448,0.0,0.6312651402406454,0.2648900439548448,-0.1014850523309552,0.6312651402406454,0.0,-84.41868766585188,33.78528111731029
ssp245,Atlanta,exceeded_quantity_day_all,exceeded_quantity,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,113880.0,19777.0,0.281841653138678,0.0019847296500951,0.6458089533705614,0.2856419499426475,0.0020052350219013,0.6645449270506237,0.2856419499426475,-0.0932610271653283,0.6645449270506237,0.0,-84.41868766585188,33.78528111731029
ssp245,Atlanta,exceeded_quantity_night_all,exceeded_quantity,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,113880.0,8613.0,0.0123687766469457,0.0,0.093742429841741,0.0123892295356063,0.0,0.0947044775578382,0.0123892295356063,-0.0699260184866257,0.0947044775578382,0.0,-84.41868766585188,33.78528111731029
ssp245,Aurora,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.76873712003088,39.6946779262805
ssp245,Aurora,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,27135.0,0.542358624523883,0.0271303688042785,1.157462943999241,0.5561003776205465,0.0273573892028075,1.2145465905421584,0.5561003776205465,-0.1023458353010661,1.2145465905421584,0.0,-104.76873712003088,39.6946779262805
ssp245,Aurora,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.76873712003088,39.6946779262805
ssp245,Aurora,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.76873712003088,39.6946779262805
ssp245,Aurora,exceeded_quantity_day_all,exceeded_quantity,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,27135.0,0.5024248379922056,0.0260303299612093,1.066758466561079,0.5133726922983277,0.0263556272204029,1.1108249982486018,0.5133726922983277,-0.0840796136519458,1.1108249982486018,0.0,-104.76873712003088,39.6946779262805
ssp245,Aurora,exceeded_quantity_night_all,exceeded_quantity,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.76873712003088,39.6946779262805
ssp245,Austin,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,227760.0,42661.0,0.7480414415992541,0.0236381229881652,1.440994319929391,0.772340627921587,0.0236670252398231,1.5349426462625817,0.772340627921587,0.009738609580593,1.5349426462625817,0.0,-97.74744069397526,30.309038865548093
ssp245,Austin,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,227760.0,24444.0,0.061426174562223,0.0,0.1536356208550381,0.0618362367075572,0.0,0.1561253088506843,0.0618362367075572,-0.0324528354355716,0.1561253088506843,0.0,-97.74744069397526,30.309038865548093
ssp245,Austin,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,227760.0,38522.0,0.0,0.0,0.0649308871308002,0.0,0.0,0.0651608041014008,-0.0546013252132339,-0.1743634545278702,0.0651608041014008,0.0,-97.74744069397526,30.309038865548093
ssp245,Austin,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,227760.0,42661.0,0.5059724779434177,0.0,1.1729544557283873,0.5153182443169165,0.0,1.2234269118032963,0.5153182443169165,-0.1927904231694622,1.2234269118032963,0.0,-97.74744069397526,30.309038865548093
ssp245,Austin,exceeded_quantity_day_all,exceeded_quantity,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,227760.0,24444.0,0.0996755122658905,4.548884570442571e-07,0.2414126134873015,0.1003930764262115,4.551242644224183e-07,0.245564162675227,0.1003930764262115,-0.0447780098228036,0.245564162675227,0.0,-97.74744069397526,30.309038865548093
ssp245,Austin,exceeded_quantity_night_all,exceeded_quantity,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,227760.0,38522.0,0.0337080413666101,0.0,0.2511223580378525,0.0337690931723621,0.0,0.2539919073251782,0.0337690931723621,-0.1864537209804541,0.2539919073251782,0.0,-97.74744069397526,30.309038865548093
ssp245,Bakersfield,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,15273.0,0.3206774881856629,0.0101667755817868,0.6176230006036516,0.3283814729246304,0.0101758055573695,0.6469113284751288,0.3283814729246304,0.0098516173741324,0.6469113284751288,0.0,-119.03270052430015,35.36139476524356
ssp245,Bakersfield,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,20799.0,0.1186284184182168,0.0,0.2953064577912195,0.1195583711264309,0.0,0.3009698707937468,0.1195583711264309,-0.0618531285408873,0.3009698707937468,0.0,-119.03270052430015,35.36139476524356
ssp245,Bakersfield,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,8826.0,0.0,0.0,0.0384702408760954,0.0,0.0,0.0387416845897552,-0.030463350691803,-0.0996683859733617,0.0387416845897552,0.0,-119.03270052430015,35.36139476524356
ssp245,Bakersfield,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,15273.0,0.3295984735549774,0.0,0.762104700276153,0.3359275556643293,0.0,0.796032237318377,0.3359275556643293,-0.124177125989718,0.796032237318377,0.0,-119.03270052430015,35.36139476524356
ssp245,Bakersfield,exceeded_quantity_day_all,exceeded_quantity,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,20799.0,0.1879500757209609,0.0003043582075199,0.4441060176175234,0.1898431131451148,0.0003063434966945,0.4542218348789915,0.1898431131451148,-0.0745356085887612,0.4542218348789915,0.0,-119.03270052430015,35.36139476524356
ssp245,Bakersfield,exceeded_quantity_night_all,exceeded_quantity,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,132860.0,8826.0,0.0208166977718676,0.0,0.1347209634622511,0.0208890978426882,0.0,0.136959370100701,0.0208890978426882,-0.0951811744153246,0.136959370100701,0.0,-119.03270052430015,35.36139476524356
